Region,Time Frame,,Population served with water 1994 to April 2025,Population served with water 201415,Population served with water 201516,Population served with water 201617,Population served with water 201718,Population served with water 201819,Population served with water 201920,Population served with water 202021,Population served with water 202122,Population served with water 202223,Population served with water 202324,Population served with water 202425,Population served with water 202526,Planned Population to be served 202627
City of Johannesburg Metropolitan Municipality,April 2026,,1 877 971,877,61 779,37 123,94 764,62 860,30 140,30 769,0,24 998,7 780,52 267,14 933,8 299
City of Tshwane Metropolitan Municipality,April 2026,,1 154 171,153,32 631,29 923,56 353,41 544,24 560,23 822,0,16 038,27 098,42 371,12 617,7 764
Ekurhuleni Metropolitan Municipality,April 2026,,1 528 720,658,24 089,37 491,66 459,46 565,26 498,21 012,0,17 028,21 736,46 224,13 094,11 383
Emfuleni,April 2026,,392 260,0,2 117,2 189,13 579,9 070,5 101,4 584,0,3 687,5 296,11 809,3 067,5 531
Lesedi,April 2026,,46 377,278,1 213,742,1 514,1 356,757,818,0,555,801,1 429,425,210
Merafong City,April 2026,,92 830,0,4,1 341,3 499,2 385,1 417,1 438,0,948,568,2 479,704,423
Midvaal,April 2026,,37 885,0,1 553,1 027,289,1 279,721,770,0,514,342,1 630,340,205
Mogale City,April 2026,,148 801,0,1 932,1 865,5 534,4 569,2 623,2 406,0,1 846,1 615,4 884,1 361,579
Rand West City ,April 2026,,82 995,0,239,1 712,2 564,3 086,1 748,1 946,0,1 242,1 700,3 803,1 071,2 561
Gauteng,April 2026,,5 362 010,1 966,125 557,113 413,244 555,172 714,93 565,87 565,0,66 856,66 936,166 896,47 612,36 955
"<b>Subject Area: Access to Basic Services</b><br />Access to Basic Services focuses on the status of people/households with access to RDP level and above Water Supply infrastructure, progress made since 1994 and the remaining challenges to ensure that all citizens have access to basic water supply infrastructure by the end of 2014. This theme focusses primarily on access to infrastructure and, in some cases such as Access to and above RDP level services, also presents the results of Census 2011 and considers the functionality/reliability of the infrastructure.<br /><br /><b>Data Topic : DWS Access to Infrastructure Data</b><br />DWS Access to Infrastructure Data<br /><br /><b>Data Topic Detail:</b> People Served with Water<br />The total number of people served with access to water supply infrastructure from 1994 to April of the current year as well as the estimated number of people to be served with water supply infrastructure during the current financial year.",,<b>Data Source:</b> Census 2011 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent,,,,,,,,,,,,,,
