Region,Time Frame,,April 1994,April 1995,April 1996,April 1997,April 1998,April 1999,April 2000,April 2001,April 2002,April 2004,April 2005,April 2006,April 2007,April 2008,April 2009,April 2010,April 2011,April 2012,April 2013,April 2014,April 2015,April 2016,April 2017,April 2018,April 2019,April 2020,April 2021,April 2022,April 2023,April 2024,April 2025,April 2026
City of Johannesburg Metropolitan Municipality,April 2026,,674 814,716 493,760 743,807 730,857 635,910 638,966 931,1 026 709,1 087 654,1 160 326,1 206 903,1 231 136,1 238 524,1 257 092,1 264 631,1 323 652,1 434 871,1 510 231,1 589 534,1 673 007,1 760 869,1 853 348,1 928 958,2 063 091,2 150 924,2 196 476,2 243 001,1 841 886,1 879 191,1 917 263,1 957 863,1 999 327
City of Tshwane Metropolitan Municipality,April 2026,,417 911,442 164,467 847,495 038,523 835,554 333,586 634,620 841,653 659,690 272,699 485,715 813,720 106,730 911,735 295,840 888,911 538,952 719,995 751,1 040 716,1 087 718,1 136 858,1 183 242,1 265 542,1 319 400,1 347 343,1 375 878,1 322 267,1 364 820,1 408 735,1 438 582,1 469 057
Ekurhuleni Metropolitan Municipality,April 2026,,498 971,529 782,562 507,597 248,634 137,673 317,714 930,759 112,804 223,857 875,892 587,912 185,917 658,931 422,937 010,936 763,1 015 484,1 066 820,1 120 740,1 177 399,1 236 918,1 299 440,1 352 475,1 446 278,1 507 844,1 539 784,1 572 389,1 420 998,1 461 524,1 503 219,1 535 062,1 567 566
Emfuleni,April 2026,,125 377,133 102,141 300,150 003,159 248,169 071,179 505,190 587,201 882,215 397,219 606,221 259,222 587,225 924,227 277,203 078,220 135,226 429,232 907,239 569,246 419,253 473,263 813,281 072,293 031,299 242,305 585,297 907,305 424,313 129,319 762,326 534
Lesedi,April 2026,,12 323,13 082,13 891,14 749,15 660,16 625,17 653,18 743,19 895,21 223,21 591,21 755,21 886,22 214,22 346,27 370,29 668,31 383,33 194,35 112,37 140,39 288,40 891,43 735,45 596,46 561,47 546,42 599,43 927,45 294,46 254,47 233
Merafong City,April 2026,,38 352,40 608,43 005,45 552,48 249,51 105,54 135,57 351,60 453,63 938,64 045,65 264,65 657,65 928,66 323,61 462,66 625,69 080,71 619,74 257,76 989,79 825,83 081,84 353,87 942,89 807,91 709,77 601,78 509,79 427,81 110,82 825
Midvaal,April 2026,,13 296,14 081,14 919,15 812,16 774,17 801,18 893,20 049,21 219,22 628,23 444,23 617,23 759,24 120,24 267,27 642,29 968,31 431,32 963,34 575,36 259,38 032,39 582,42 337,44 136,45 071,46 027,36 468,37 028,37 596,38 390,39 203
Mogale City,April 2026,,57 171,60 698,64 441,68 418,72 640,77 124,81 890,86 953,95 549,101 916,107 965,110 017,110 680,112 234,112 908,108 276,117 373,122 801,128 483,134 425,140 647,147 147,153 144,163 795,170 766,174 382,178 070,150 783,153 848,156 973,160 301,163 696
Rand West City ,April 2026,,23 749,25 206,26 754,28 397,30 145,31 997,33 969,36 067,38 178,40 724,42 200,43 003,43 262,43 911,44 174,39 942,83 400,87 099,90 959,94 991,99 203,103 596,107 825,115 327,120 233,122 777,125 375,128 139,133 047,138 147,141 070,144 056
Gauteng,April 2026,,1 861 964,1 975 216,2 095 407,2 222 947,2 358 323,2 502 011,2 654 540,2 816 412,2 982 712,3 174 299,3 277 826,3 344 049,3 364 119,3 413 756,3 434 231,3 569 073,3 909 062,4 097 993,4 296 150,4 504 051,4 722 162,4 951 007,5 153 011,5 505 530,5 739 872,5 861 443,5 985 580,5 318 648,5 457 318,5 599 783,5 718 394,5 839 497
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> Timeseries Households<br />Estimated number of households from 1994 to the current year per province with a national summary. The information is aligned with STATS SA Census and GHS results annually and is available to municipal level.",,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
