Region,Time Frame,,Total Households,Total Population,HH Density,Urban Households,Rural Households
City of Johannesburg Metropolitan Municipality,April 2026,,1 999 327,5 045 624,2.52,1 908 922,90 405
City of Tshwane Metropolitan Municipality,April 2026,,1 469 057,4 426 868,3.01,1 320 442,148 615
Ekurhuleni Metropolitan Municipality,April 2026,,1 567 566,4 391 840,2.80,1 369 578,197 988
Emfuleni,April 2026,,326 534,1 025 702,3.14,302 095,24 439
Lesedi,April 2026,,47 233,144 504,3.06,39 418,7 815
Merafong City,April 2026,,82 825,238 817,2.88,76 671,6 154
Midvaal,April 2026,,39 203,119 505,3.05,24 585,14 618
Mogale City,April 2026,,163 696,468 610,2.86,103 841,59 855
Rand West City ,April 2026,,144 056,361 697,2.51,121 712,22 344
Gauteng,April 2026,,5 839 497,16 223 167,2.78,5 267 264,572 233
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> Total Households<br />The estimated current total households as calculated by DWS based on Census and General Household Survey results. This also includes household density figures as well as a split between urban and rural households and is available to municipal level.",,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",,,,,
