Region,Time Frame,,Risk Type,Analysis Done,Analysis Failed,Compliance Percentage,Compliance Result
City of Johannesburg Metropolitan Municipality,2 026,,Operational,4 751,66,98.61,Excellent
City of Tshwane Metropolitan Municipality,2 026,,Operational,1 508,196,87.00,Poor
Ekurhuleni Metropolitan Municipality,2 026,,Operational,3 308,35,98.94,Excellent
Emfuleni,2 026,,Operational,0,0,0.00,Bad
Lesedi,2 026,,Operational,124,1,99.19,Excellent
Merafong City,2 026,,Operational,387,10,97.42,Excellent
Midvaal,2 026,,Operational,377,6,98.41,Excellent
Mogale City,2 026,,Operational,1 342,92,93.14,Good
Rand West City ,2 026,,Operational,0,0,0.00,Bad
Gauteng,2 026,,Operational,11 797,406,96.56,Excellent
<b>Subject Area: Water Quality Management</b><br />Water Quality Management theme reports on all regulatory activities related to drinking water quality as well as waste water effluent quality. Key areas included are monitoring compliance linked to drinking water or waste water effluent compliance.<br /><br /><b>Data Topic : Drinking Water Quality</b><br />Drinking Water Quality<br /><br /><b>Data Topic Detail:</b> Operational<br />,,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.dwa.gov.za/Dir_WS/DWQR"" target=""_blank"" >DWA Bluedrop System</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2026<br /><b>Level Of Confidence:</b> 95 Percent",,,,,
