Dataset,Original Rows,Clean Rows,Rows Removed,Original Columns,Clean Columns,Original Missing,Remaining Missing,Original Duplicates,Remaining Duplicates
Areas of Highest Vulnerability_ 2026_04_21,11,11,0,21,21,29,0,0,0
Drinking Water Quality Compliance - SANS 241 _2006 - National [From_ 2022-07-01 To_ 2026-06-30],4,4,0,2,2,0,0,0,0
Households Served with Water_ 2026_04_21,11,11,0,17,17,25,0,0,0
Institutional Compliance_ 2026_04_21,11,11,0,5,5,13,0,0,0
Microbiological _ Acute Health_ 2026_04_21,11,11,0,8,8,16,0,0,0
NIWIS_Access to Water Infrastructure Delivered- Population_16-Jul-2026 ,0,0,0,4,0,0,0,0,0
NIWIS_GroundwaterStatus_16-Jul-2026 ,1947,1946,1,8,8,2511,0,1,0
NIWIS_RWT_16-Jul-2026 ,9,9,0,5,5,0,0,0,0
NIWIS_WasteWaterQuality_16-Jul-2026 ,143,143,0,6,5,143,0,0,0
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,144,144,0,14,13,189,0,0,0
Operational_ 2026_04_21,11,11,0,8,8,16,0,0,0
People Served with Water_ 2026_04_21,11,11,0,17,17,25,0,0,0
Piped Water Households _ 2026_04_21,10,10,0,12,12,19,0,0,0
Potable Systems_ 2026_04_21,61,61,0,11,11,69,0,0,0
Protests Identified by Municipal IQ_ 2026_04_21,11,11,0,16,16,24,0,0,0
Residential Tariffs_ 2026_04_21,11,11,0,7,7,15,0,0,0
Source of Water Households _ 2026_04_21,10,10,0,13,13,20,0,0,0
Surface Water Storage ( 2020 -2026),375,375,0,9,9,1953,0,0,0
Surface Water Storage (2014-2020),374,374,0,9,9,1971,0,0,0
TimeSeries Population_ 2026_04_21,11,11,0,35,35,43,0,0,0
Timeseries Households_ 2026_04_21,11,11,0,35,35,43,0,0,0
Total Households_ 2026_04_21,11,11,0,8,8,16,0,0,0
Total Population_ 2026_04_21,11,11,0,8,8,16,0,0,0
Verified - River Flow ( National ),7,7,0,2,2,0,0,0,0
Vulnerability Score Per leg_ 2026_04_21,11,11,0,9,9,17,0,0,0
Water demand growth_ 2026_04_21,11,11,0,10,10,18,0,0,0
Weather,21301,21301,0,14,14,38846,0,0,0
