Dataset,Column,Missing Before,Method
Areas of Highest Vulnerability_ 2026_04_21,time_frame,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,unnamed__2,10,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,1__water_services_planning,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,2__management_skill_level__technical,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,3__staff_skill_level__technical,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,4__technical_staff_capacity__numbers,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,5__water_resource_management__wrm,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,6__water_conservation___water_demand_management__wc_wdm,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,7__drinking_water_safety___regulatory_compliance,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,8__basic_sanitation,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,9__wastewater_environmental_safety___regulatory_compliance,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,10__infrastructure_asset_management__iam,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,11__operation___maintenance__o_m__of_assets,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,12__financial_management,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,13__revenue_collection,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,14__financial_asset_management,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,15__information_management__it,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,16__organisational_performance_monitoring,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,17__water_and_sanitation_service_quality,1,Unknown category
Areas of Highest Vulnerability_ 2026_04_21,18__customer_care__crm,1,Unknown category
Households Served with Water_ 2026_04_21,time_frame,1,Unknown category
Households Served with Water_ 2026_04_21,unnamed__2,10,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_1994_to_april_2025,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_201516,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_201617,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_201718,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_201819,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_201920,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_202021,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_202223,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_202324,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_202425,1,Unknown category
Households Served with Water_ 2026_04_21,households_served_with_water_202526,1,Unknown category
Households Served with Water_ 2026_04_21,planned_households_to_be_served_202627,1,Unknown category
Institutional Compliance_ 2026_04_21,time_frame,1,Unknown category
Institutional Compliance_ 2026_04_21,unnamed__2,10,Unknown category
Microbiological _ Acute Health_ 2026_04_21,time_frame,1,Unknown category
Microbiological _ Acute Health_ 2026_04_21,unnamed__2,10,Unknown category
Microbiological _ Acute Health_ 2026_04_21,risk_type,1,Unknown category
Microbiological _ Acute Health_ 2026_04_21,analysis_done,1,Unknown category
Microbiological _ Acute Health_ 2026_04_21,compliance_result,1,Unknown category
NIWIS_GroundwaterStatus_16-Jul-2026 ,recharge__gwr_m3_a,836,Unknown category
NIWIS_GroundwaterStatus_16-Jul-2026 ,reserve__gwr_m3_a,836,Unknown category
NIWIS_GroundwaterStatus_16-Jul-2026 ,surplus__gwr_m3_a,836,Unknown category
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,population_with_access_to_water,9,Unknown category
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,urban_population,2,Unknown category
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,urban_population_with_access_to_water,2,Unknown category
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,urban_population_reliable_supply,2,Unknown category
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,urban_population_reliable_supply_1,2,Unknown category
