Dataset,Infinite Values
Areas of Highest Vulnerability_ 2026_04_21,0
Drinking Water Quality Compliance - SANS 241 _2006 - National [From_ 2022-07-01 To_ 2026-06-30],0
Households Served with Water_ 2026_04_21,0
Institutional Compliance_ 2026_04_21,0
Microbiological _ Acute Health_ 2026_04_21,0
NIWIS_Access to Water Infrastructure Delivered- Population_16-Jul-2026 ,0
NIWIS_GroundwaterStatus_16-Jul-2026 ,0
NIWIS_RWT_16-Jul-2026 ,0
NIWIS_WasteWaterQuality_16-Jul-2026 ,0
NIWIS_Water Supply Reliability - population_16-Jul-2026 ,0
Operational_ 2026_04_21,0
People Served with Water_ 2026_04_21,0
Piped Water Households _ 2026_04_21,0
Potable Systems_ 2026_04_21,0
Protests Identified by Municipal IQ_ 2026_04_21,0
Residential Tariffs_ 2026_04_21,0
Source of Water Households _ 2026_04_21,0
Surface Water Storage ( 2020 -2026),0
Surface Water Storage (2014-2020),0
TimeSeries Population_ 2026_04_21,0
Timeseries Households_ 2026_04_21,0
Total Households_ 2026_04_21,0
Total Population_ 2026_04_21,0
Verified - River Flow ( National ),0
Vulnerability Score Per leg_ 2026_04_21,0
Water demand growth_ 2026_04_21,0
Weather,0
