Dataset,Column,Observations,IQR Outliers,IQR Outlier %,Z-Score Outliers,Z-Score Outlier %,IQR Lower Bound,IQR Upper Bound
Drinking Water Quality Compliance - SANS 241 _2006 - National [From_ 2022-07-01 To_ 2026-06-30],sans_241__2006,4,0,0.0,0,0.0,89.9280608531047,100.87437535033423
Households Served with Water_ 2026_04_21,households_served_with_water_201415,11,1,9.09,0,0.0,-216.0,360.0
Households Served with Water_ 2026_04_21,households_served_with_water_202122,11,0,0.0,0,0.0,0.0,0.0
Institutional Compliance_ 2026_04_21,potable_water_compliance_percentage,11,2,18.18,0,0.0,80.09,115.33000000000001
Institutional Compliance_ 2026_04_21,effluent_water_compliance_percentage,11,0,0.0,0,0.0,42.747499999999974,112.68750000000003
Microbiological _ Acute Health_ 2026_04_21,analysis_failed,11,2,18.18,0,0.0,-26.5,45.5
Microbiological _ Acute Health_ 2026_04_21,compliance_percentage,11,2,18.18,0,0.0,73.4275,114.1675
NIWIS_GroundwaterStatus_16-Jul-2026 ,reserve_study,1946,0,0.0,0,0.0,-1.5,2.5
NIWIS_RWT_16-Jul-2026 ,domestic_and_industry_c_m3,9,0,0.0,0,0.0,0.6799999999999993,8.360000000000001
NIWIS_RWT_16-Jul-2026 ,irrigation_c_m3,9,1,11.11,0,0.0,1.3500000000000003,4.79
NIWIS_RWT_16-Jul-2026 ,forestry_c_m3,9,1,11.11,0,0.0,0.74,4.5
Operational_ 2026_04_21,analysis_failed,11,2,18.18,0,0.0,-109.75,192.25
Operational_ 2026_04_21,compliance_percentage,11,2,18.18,0,0.0,77.41,111.16999999999999
People Served with Water_ 2026_04_21,population_served_with_water_201415,11,2,18.18,0,0.0,-323.25,538.75
People Served with Water_ 2026_04_21,population_served_with_water_202122,11,0,0.0,0,0.0,0.0,0.0
Piped Water Households _ 2026_04_21,unspecified,10,0,0.0,0,0.0,0.0,0.0
Piped Water Households _ 2026_04_21,not_applicable,10,0,0.0,0,0.0,0.0,0.0
Potable Systems_ 2026_04_21,drinking_water_quality_percentage,61,8,13.11,4,6.56,95.975,102.41499999999999
Potable Systems_ 2026_04_21,latest_blue_drop_score,61,0,0.0,0,0.0,24.860000000000007,128.06
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,11,1,9.09,0,0.0,-97.25,184.75
Protests Identified by Municipal IQ_ 2026_04_21,informal,11,2,18.18,0,0.0,-43.75,82.25
Protests Identified by Municipal IQ_ 2026_04_21,violent,11,2,18.18,0,0.0,-75.75,142.25
Protests Identified by Municipal IQ_ 2026_04_21,xenophobia,11,1,9.09,0,0.0,-3.25,6.75
Protests Identified by Municipal IQ_ 2026_04_21,criminality,11,2,18.18,0,0.0,-6.0,14.0
Protests Identified by Municipal IQ_ 2026_04_21,corruption,11,2,18.18,0,0.0,-6.75,15.25
Protests Identified by Municipal IQ_ 2026_04_21,councillor,11,1,9.09,0,0.0,-30.75,59.25
Protests Identified by Municipal IQ_ 2026_04_21,water,11,1,9.09,0,0.0,-34.0,62.0
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,11,1,9.09,0,0.0,-20.0,36.0
Protests Identified by Municipal IQ_ 2026_04_21,electricity,11,2,18.18,0,0.0,-40.0,72.0
Protests Identified by Municipal IQ_ 2026_04_21,refuse_removal,11,2,18.18,0,0.0,-3.0,5.0
Protests Identified by Municipal IQ_ 2026_04_21,roads,11,1,9.09,0,0.0,-9.75,16.25
Protests Identified by Municipal IQ_ 2026_04_21,housing,11,1,9.09,0,0.0,-42.5,77.5
Source of Water Households _ 2026_04_21,not_applicable,10,0,0.0,0,0.0,0.0,0.0
Surface Water Storage ( 2020 -2026),high,375,70,18.67,13,3.47,96.64,96.64
Surface Water Storage ( 2020 -2026),moderately_high,375,72,19.2,12,3.2,88.39750000000001,88.39750000000001
Surface Water Storage ( 2020 -2026),normal,375,72,19.2,14,3.73,85.739,85.739
Surface Water Storage ( 2020 -2026),moderately_low,375,72,19.2,10,2.67,79.11600000000001,79.11600000000001
