,total_protests,informal,violent,xenophobia,criminality,corruption,councillor,water,sanitation,electricity,refuse_removal,roads,housing
total_protests,1.0,0.9933885384938972,0.9997313425381789,0.9446545579850576,0.9947537939193402,0.9163440579270222,0.9857771668520819,0.985061473687799,0.996298984203814,0.9979373567882153,0.9746741228390869,0.9581324221358358,0.998666023401374
informal,0.9933885384938972,1.0,0.9948213550502081,0.9288028105214978,0.9883919407682381,0.8700021482672676,0.9610804745152873,0.9605797188852543,0.9815088234786571,0.9977988535690665,0.9776679464860643,0.9219005207491827,0.9929683008973696
violent,0.9997313425381789,0.9948213550502081,1.0,0.9455742312408157,0.9956649423132058,0.9085870900139751,0.9829192199533203,0.9816296479643538,0.9945415404748582,0.9985902794410134,0.9784645852398524,0.9544456998961127,0.9984753910528823
xenophobia,0.9446545579850576,0.9288028105214978,0.9455742312408157,1.0,0.9647743478961592,0.9084117262600586,0.9528302075235521,0.92892075683404,0.946279321356857,0.9408169884745788,0.9272826230342237,0.9081978645641885,0.9312537539977115
criminality,0.9947537939193402,0.9883919407682381,0.9956649423132058,0.9647743478961592,1.0,0.9043343301645568,0.980470366676789,0.9749755319390359,0.9895384239036242,0.9935379763335354,0.9810001747156696,0.9501761241818942,0.9922361914248918
corruption,0.9163440579270222,0.8700021482672676,0.9085870900139751,0.9084117262600586,0.9043343301645568,1.0,0.9665750812193968,0.9610519797474896,0.943308887181221,0.8945088880960075,0.8370599453398333,0.9566511465547454,0.9067771223542457
councillor,0.9857771668520819,0.9610804745152873,0.9829192199533203,0.9528302075235521,0.980470366676789,0.9665750812193968,1.0,0.9963474411418807,0.9954778024893004,0.9757801984407425,0.9470967685344828,0.9815995180736038,0.9817602506401644
water,0.985061473687799,0.9605797188852543,0.9816296479643538,0.92892075683404,0.9749755319390359,0.9610519797474896,0.9963474411418807,1.0,0.9949273233628588,0.9744237613101486,0.9434649117426016,0.9845909592868995,0.9846602970117346
sanitation,0.996298984203814,0.9815088234786571,0.9945415404748582,0.946279321356857,0.9895384239036242,0.943308887181221,0.9954778024893004,0.9949273233628588,1.0,0.991006136400911,0.9648734678947364,0.9698568309257477,0.9947168298805927
electricity,0.9979373567882153,0.9977988535690665,0.9985902794410134,0.9408169884745788,0.9935379763335354,0.8945088880960075,0.9757801984407425,0.9744237613101486,0.991006136400911,1.0,0.980448878598568,0.9396890487614916,0.9972116221702855
refuse_removal,0.9746741228390869,0.9776679464860643,0.9784645852398524,0.9272826230342237,0.9810001747156696,0.8370599453398333,0.9470967685344828,0.9434649117426016,0.9648734678947364,0.980448878598568,1.0,0.9116294824693979,0.9776247307046624
roads,0.9581324221358358,0.9219005207491827,0.9544456998961127,0.9081978645641885,0.9501761241818942,0.9566511465547454,0.9815995180736038,0.9845909592868995,0.9698568309257477,0.9396890487614916,0.9116294824693979,1.0,0.9562894645043994
housing,0.998666023401374,0.9929683008973696,0.9984753910528823,0.9312537539977115,0.9922361914248918,0.9067771223542457,0.9817602506401644,0.9846602970117346,0.9947168298805927,0.9972116221702855,0.9776247307046624,0.9562894645043994,1.0
