Dataset,Column,Minimum,Maximum,Observations
Households Served with Water_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Institutional Compliance_ 2026_04_21,time_frame,2022-04-01 00:00:00.000000000,2022-04-01 00:00:00.000000000,10
NIWIS_RWT_16-Jul-2026 ,date,1970-01-01 00:00:00.000002025,1970-01-01 00:00:00.000002025,9
People Served with Water_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Piped Water Households _ 2026_04_21,time_frame,2011-10-01 00:00:00.000000000,2011-10-01 00:00:00.000000000,9
Potable Systems_ 2026_04_21,time_frame,2022-04-01 00:00:00.000000000,2022-04-01 00:00:00.000000000,60
Source of Water Households _ 2026_04_21,time_frame,2011-10-01 00:00:00.000000000,2011-10-01 00:00:00.000000000,9
Surface Water Storage ( 2020 -2026),datetime,2020-10-01 00:00:00.000000000,2026-09-24 00:00:00.000000000,375
Surface Water Storage (2014-2020),datetime,2014-10-01 00:00:00.000000000,2020-09-30 00:00:00.000000000,374
TimeSeries Population_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Timeseries Households_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Total Households_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Total Population_ 2026_04_21,time_frame,2026-04-01 00:00:00.000000000,2026-04-01 00:00:00.000000000,10
Weather,date,2000-01-01 00:00:00.000000000,2025-08-24 00:00:00.000000000,21301
