Dataset,Feature 1,Feature 2,Correlation,Absolute Correlation
Protests Identified by Municipal IQ_ 2026_04_21,violent,total_protests,0.9997313425381789,0.9997313425381789
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,violent,0.9997313425381789,0.9997313425381789
Weather,latitude,elevation,-0.9994676647822472,0.9994676647822472
Weather,elevation,latitude,-0.9994676647822472,0.9994676647822472
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,housing,0.998666023401374,0.998666023401374
Protests Identified by Municipal IQ_ 2026_04_21,housing,total_protests,0.998666023401374,0.998666023401374
Protests Identified by Municipal IQ_ 2026_04_21,electricity,violent,0.9985902794410134,0.9985902794410134
Protests Identified by Municipal IQ_ 2026_04_21,violent,electricity,0.9985902794410134,0.9985902794410134
Protests Identified by Municipal IQ_ 2026_04_21,violent,housing,0.9984753910528823,0.9984753910528823
Protests Identified by Municipal IQ_ 2026_04_21,housing,violent,0.9984753910528823,0.9984753910528823
Protests Identified by Municipal IQ_ 2026_04_21,electricity,total_protests,0.9979373567882153,0.9979373567882153
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,electricity,0.9979373567882153,0.9979373567882153
Protests Identified by Municipal IQ_ 2026_04_21,informal,electricity,0.9977988535690665,0.9977988535690665
Protests Identified by Municipal IQ_ 2026_04_21,electricity,informal,0.9977988535690665,0.9977988535690665
Protests Identified by Municipal IQ_ 2026_04_21,electricity,housing,0.9972116221702855,0.9972116221702855
Protests Identified by Municipal IQ_ 2026_04_21,housing,electricity,0.9972116221702855,0.9972116221702855
Weather,elevation,longitude,0.9967586427630453,0.9967586427630453
Weather,longitude,elevation,0.9967586427630453,0.9967586427630453
Protests Identified by Municipal IQ_ 2026_04_21,water,councillor,0.9963474411418807,0.9963474411418807
Protests Identified by Municipal IQ_ 2026_04_21,councillor,water,0.9963474411418807,0.9963474411418807
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,sanitation,0.996298984203814,0.996298984203814
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,total_protests,0.996298984203814,0.996298984203814
Protests Identified by Municipal IQ_ 2026_04_21,violent,criminality,0.9956649423132058,0.9956649423132058
Protests Identified by Municipal IQ_ 2026_04_21,criminality,violent,0.9956649423132058,0.9956649423132058
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,councillor,0.9954778024893004,0.9954778024893004
Protests Identified by Municipal IQ_ 2026_04_21,councillor,sanitation,0.9954778024893004,0.9954778024893004
Protests Identified by Municipal IQ_ 2026_04_21,water,sanitation,0.9949273233628588,0.9949273233628588
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,water,0.9949273233628588,0.9949273233628588
Protests Identified by Municipal IQ_ 2026_04_21,violent,informal,0.9948213550502081,0.9948213550502081
Protests Identified by Municipal IQ_ 2026_04_21,informal,violent,0.9948213550502081,0.9948213550502081
Protests Identified by Municipal IQ_ 2026_04_21,criminality,total_protests,0.9947537939193402,0.9947537939193402
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,criminality,0.9947537939193402,0.9947537939193402
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,housing,0.9947168298805927,0.9947168298805927
Protests Identified by Municipal IQ_ 2026_04_21,housing,sanitation,0.9947168298805927,0.9947168298805927
Protests Identified by Municipal IQ_ 2026_04_21,violent,sanitation,0.9945415404748582,0.9945415404748582
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,violent,0.9945415404748582,0.9945415404748582
Weather,latitude,longitude,-0.9936033550550151,0.9936033550550151
Weather,longitude,latitude,-0.9936033550550151,0.9936033550550151
Protests Identified by Municipal IQ_ 2026_04_21,criminality,electricity,0.9935379763335354,0.9935379763335354
Protests Identified by Municipal IQ_ 2026_04_21,electricity,criminality,0.9935379763335354,0.9935379763335354
Protests Identified by Municipal IQ_ 2026_04_21,total_protests,informal,0.9933885384938972,0.9933885384938972
Protests Identified by Municipal IQ_ 2026_04_21,informal,total_protests,0.9933885384938972,0.9933885384938972
Protests Identified by Municipal IQ_ 2026_04_21,informal,housing,0.9929683008973696,0.9929683008973696
Protests Identified by Municipal IQ_ 2026_04_21,housing,informal,0.9929683008973696,0.9929683008973696
Protests Identified by Municipal IQ_ 2026_04_21,housing,criminality,0.9922361914248918,0.9922361914248918
Protests Identified by Municipal IQ_ 2026_04_21,criminality,housing,0.9922361914248918,0.9922361914248918
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,electricity,0.991006136400911,0.991006136400911
Protests Identified by Municipal IQ_ 2026_04_21,electricity,sanitation,0.991006136400911,0.991006136400911
Protests Identified by Municipal IQ_ 2026_04_21,criminality,sanitation,0.9895384239036242,0.9895384239036242
Protests Identified by Municipal IQ_ 2026_04_21,sanitation,criminality,0.9895384239036242,0.9895384239036242
Protests Identified by Municipal IQ_ 2026_04_21,informal,criminality,0.9883919407682381,0.9883919407682381
Protests Identified by Municipal IQ_ 2026_04_21,criminality,informal,0.9883919407682381,0.9883919407682381
