count,mean,std,min,25%,50%,75%,max,missing,unique,dataset,feature
4.0,95.33079937048325,3.0099928693937104,91.56053924438142,94.03292878956577,95.47163683295568,96.76950741387316,98.8193845716402,0,4,Drinking Water Quality Compliance - SANS 241 _2006 - National [From_ 2022-07-01 To_ 2026-06-30],sans_241__2006
11.0,106.63636363636364,183.28244472795134,0.0,0.0,9.0,144.0,582.0,0,7,Households Served with Water_ 2026_04_21,households_served_with_water_201415
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,Households Served with Water_ 2026_04_21,households_served_with_water_202122
11.0,93.64090909090909,13.93705022918799,62.2,93.305,99.54,102.11500000000001,103.51,0,11,Institutional Compliance_ 2026_04_21,potable_water_compliance_percentage
11.0,76.69136363636363,14.973966423581476,52.33,68.975,76.115,86.46000000000001,98.91,0,11,Institutional Compliance_ 2026_04_21,effluent_water_compliance_percentage
11.0,20.136363636363637,33.97947241283398,0.0,0.5,5.5,18.5,108.0,0,9,Microbiological _ Acute Health_ 2026_04_21,analysis_failed
11.0,78.6709090909091,39.13965494343185,0.0,88.705,97.08,98.89,100.0,0,10,Microbiological _ Acute Health_ 2026_04_21,compliance_percentage
1946.0,0.5704008221993834,0.4951461508729119,0.0,0.0,1.0,1.0,1.0,0,2,NIWIS_GroundwaterStatus_16-Jul-2026 ,reserve_study
9.0,4.581111111111111,1.4883669275790534,1.98,3.56,4.78,5.48,6.59,0,9,NIWIS_RWT_16-Jul-2026 ,domestic_and_industry_c_m3
9.0,2.9811111111111113,0.8278804932543774,1.15,2.64,3.22,3.5,3.84,0,9,NIWIS_RWT_16-Jul-2026 ,irrigation_c_m3
9.0,2.3588888888888895,1.0101045050444588,0.0,2.15,2.64,3.09,3.18,0,9,NIWIS_RWT_16-Jul-2026 ,forestry_c_m3
11.0,75.86363636363636,124.35113407385774,0.0,3.5,22.5,79.0,406.0,0,10,Operational_ 2026_04_21,analysis_failed
11.0,78.75090909090909,39.093589104748474,0.0,90.07,96.99,98.50999999999999,99.19,0,10,Operational_ 2026_04_21,compliance_percentage
11.0,178.72727272727272,308.4490528139424,0.0,0.0,0.0,215.5,877.0,0,5,People Served with Water_ 2026_04_21,population_served_with_water_201415
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,People Served with Water_ 2026_04_21,population_served_with_water_202122
