quaternary,reserve_study,available__gra2_m3_a,recharge__gwr_m3_a,reserve__gwr_m3_a,abstracted__warms_m3_a,surplus__gra2_m3_a,surplus__gwr_m3_a
E10A,1,3 797 140,30 120 000,5 440 000,123 420,3 673 720,24 556 580
E10B,1,5 302 850,37 170 000,6 790 000,12 050 080,-6 747 230,18 329 920
E10C,1,3 596 190,24 790 000,5 660 000,991 600,2 604 590,18 138 400
E10D,1,2 737 390,24 350 000,5 740 000,0,2 737 390,18 610 000
E10E,1,2 361 910,30 670 000,7 490 000,2 091 128,270 782,21 088 872
E10F,1,2 236 760,28 280 000,5 140 000,822 403,1 414 357,22 317 597
E10G,1,2 993 090,26 880 000,4 230 000,1 474 620,1 518 470,21 175 380
E10H,1,1 914 920,9 620 000,1 510 000,255 000,1 659 920,7 855 000
E10J,1,802 408,19 320 000,1 680 000,11 559 316,-10 756 908,6 080 684
E10K,1,572 035,6 670 000,360 000,712 100,- 140 065,5 597 900
E21A,1,2 793 380,14 140 000,1 510 000,2 371 005,422 375,10 258 995
E21B,1,1 976 490,8 870 000,10 000,5 049 746,-3 073 256,3 810 254
E21C,1,1 589 430,8 700 000,70 000,684 524,904 906,7 945 476
E21D,1,3 854 040,18 210 000,1 930 000,3 581 667,272 373,12 698 333
E21E,1,646 065,8 440 000,100 000,1 648 000,-1 001 935,6 692 000
E21F,1,299 506,8 760 000,150 000,3 884,295 623,8 606 117
E21G,1,2 099 100,18 950 000,2 090 000,6 241 017,-4 141 917,10 618 983
E21H,1,1 616 290,31 200 000,16 660 000,1 021 394,594 896,13 518 606
E21J,1,128 272,16 070 000,320 000,189 330,-61 058,15 560 670
E21K,1,272 567,11 620 000,180 000,0,272 567,11 440 000
E21L,1,260 781,2 530 000,140 000,0,260 781,2 390 000
E22A,1,1 597 610,7 530 000,400 000,40 000,1 557 610,7 090 000
E22B,1,1 187 760,6 330 000,430 000,461 535,726 225,5 438 465
E22C,1,2 531 170,4 430 000,360 000,3 600 400,-1 069 230,469 600
E22D,1,676 569,4 210 000,260 000,66 375,610 194,3 883 625
E22E,1,1 670 340,9 850 000,1 780 000,59 000,1 611 340,8 011 000
E22F,1,422 689,1 300 000,210 000,0,422 689,1 090 000
E22G,1,182 416,1 270 000,430 000,0,182 416,840 000
E23A,1,2 337 100,5 810 000,1 050 000,139 846,2 197 254,4 620 154
E23B,1,1 769 910,5 080 000,970 000,27 792,1 742 118,4 082 208
E23C,1,625 246,2 030 000,440 000,0,625 246,1 590 000
E23D,1,1 169 080,3 290 000,1 030 000,0,1 169 080,2 260 000
E23E,1,1 556 340,2 990 000,600 000,12 000,1 544 340,2 378 000
E23F,1,117 987,950 000,510 000,0,117 987,440 000
E23G,1,874 350,2 840 000,800 000,165 358,708 992,1 874 642
