wsa,chemical,microbiological,physical,monitoring
Buffalo City,74%,29%,82%,75%
City of Cape Town,68%,65%,74%,92%
Ekurhuleni,76%,78%,88%,84%
eThekwini,68%,60%,83%,93%
City of Johannesburg,73%,68%,85%,92%
Mangaung,59%,85%,78%,89%
Nelson Mandela Bay,65%,59%,70%,64%
City of Tshwane,53%,14%,76%,68%
Dr Beyers Naudé Local Municipality,46%,54%,54%,61%
Blue Crane Route Local Municipality,47%,43%,60%,75%
Makana Local Municipality,57%,42%,76%,31%
Ndlambe Local Municipality,29%,48%,35%,93%
Sundays River Valley Local Municipality,89%,67%,89%,37%
Kouga Local Municipality,47%,35%,65%,83%
Kou-Kamma Local Municipality,42%,36%,49%,63%
Letsemeng Local Municipality,37%,32%,52%,45%
Kopanong Local Municipality,0%,0%,0%,0%
Mohokare Local Municipality,77%,81%,80%,86%
Masilonyana Local Municipality,63%,32%,73%,80%
Tokologo Local Municipality,0%,0%,0%,0%
Tswelopele Local Municipality,67%,53%,83%,89%
Matjhabeng Local Municipality,56%,22%,90%,60%
Nala Local Municipality,60%,21%,78%,38%
Setsoto Local Municipality,58%,39%,84%,54%
Dihlabeng Local Municipality,62%,32%,78%,72%
Nketoana Local Municipality,32%,83%,41%,72%
Maluti a Phofung Local Municipality,50%,100%,67%,20%
Phumelela Local Municipality,33%,100%,100%,19%
Mantsopa Local Municipality,64%,62%,66%,78%
Moqhaka Local Municipality,69%,32%,75%,87%
Ngwathe Local Municipality,80%,52%,76%,73%
Metsimaholo Local Municipality,58%,28%,83%,74%
Mafube Local Municipality,76%,70%,89%,61%
Emfuleni Local Municipality,84%,42%,92%,83%
Midvaal Local Municipality,76%,72%,79%,81%
Lesedi Local Municipality,91%,89%,95%,83%
Mogale City Local Municipality,52%,9%,65%,74%
Merafong City Local Municipality,67%,61%,79%,44%
Rand West City Local Municipality,52%,20%,62%,66%
The Msunduzi Local Municipality,86%,78%,91%,82%
Newcastle Local Municipality,85%,90%,89%,97%
uMhlathuze Local Municipality,63%,35%,75%,94%
Polokwane Local Municipality,45%,11%,69%,99%
Thabazimbi Local Municipality,0%,0%,0%,0%
Lephalale Local Municipality,55%,49%,80%,34%
Bela-Bela Local Municipality,48%,48%,80%,76%
Mogalakwena Local Municipality,52%,57%,43%,76%
Modimolle/Mookgophong Local Municipality,65%,41%,66%,61%
Chief Albert Luthuli Local Municipality,65%,53%,91%,18%
Msukaligwa Local Municipality,37%,36%,72%,58%
Mkhondo Local Municipality,71%,51%,75%,69%
Dr Pixley Ka Isaka Seme Local Municipality,46%,14%,74%,57%
Lekwa Local Municipality,50%,90%,94%,76%
Dipaleseng Local Municipality,97%,92%,93%,84%
Govan Mbeki Local Municipality,74%,36%,78%,57%
Victor Khanye Local Municipality,41%,22%,63%,88%
Emalahleni Local Municipality,80%,27%,83%,75%
Steve Tshwete Local Municipality,71%,48%,77%,84%
Emakhazeni Local Municipality,60%,47%,58%,78%
Thembisile Local Municipality,68%,60%,83%,64%
Dr JS Moroka Local Municipality,34%,16%,80%,72%
Thaba Chweu Local Municipality,77%,26%,88%,83%
Nkomazi Local Municipality,55%,77%,81%,89%
Bushbuckridge Local Municipality,78%,74%,87%,74%
Mbombela/Umjindi Local Municipality,81%,67%,85%,77%
Richtersveld Local Municipality,67%,57%,50%,92%
Nama Khoi Local Municipality,25%,37%,50%,78%
Kamiesberg Local Municipality,0%,0%,0%,0%
Hantam Local Municipality,23%,52%,41%,92%
Karoo Hoogland Local Municipality,44%,85%,50%,80%
Khâi-Ma Local Municipality,0%,0%,0%,0%
Ubuntu Local Municipality,50%,60%,48%,47%
Umsobomvu Local Municipality,51%,38%,72%,91%
Emthanjeni Local Municipality,72%,0%,48%,49%
Kareeberg Local Municipality,41%,77%,40%,78%
Renosterberg Local Municipality,0%,20%,0%,89%
Thembelihle Local Municipality,54%,21%,57%,73%
Siyathemba Local Municipality,47%,41%,51%,93%
Siyancuma Local Municipality,0%,48%,0%,95%
Kai !Garib Local Municipality,16%,48%,64%,66%
!Kheis Local Municipality,17%,0%,67%,36%
