region,time_frame,unnamed__2,total_protests,informal,violent,xenophobia,criminality,corruption,councillor,water,sanitation,electricity,refuse_removal,roads,housing,total_protests_change,total_protests_pct_change,informal_change,informal_pct_change,violent_change,violent_pct_change,xenophobia_change,xenophobia_pct_change,criminality_change,criminality_pct_change,corruption_change,corruption_pct_change,councillor_change,councillor_pct_change,water_change,water_pct_change,sanitation_change,sanitation_pct_change,electricity_change,electricity_pct_change,refuse_removal_change,refuse_removal_pct_change,roads_change,roads_pct_change,housing_change,housing_pct_change
City of Johannesburg Metropolitan Municipality,2 018,Unknown,174.0,101.0,143.0,4.0,17.0,5.0,35.0,37.0,26.0,76.0,7.0,9.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Tshwane Metropolitan Municipality,2 018,Unknown,85.0,28.0,64.0,2.0,7.0,16.0,33.0,36.0,18.0,29.0,2.0,11.0,38.0,-89.0,-0.5114942528735632,-73.0,-0.7227722772277227,-79.0,-0.5524475524475525,-2.0,-0.5,-10.0,-0.5882352941176471,11.0,2.2,-2.0,-0.05714285714285716,-1.0,-0.027027027027026973,-8.0,-0.3076923076923077,-47.0,-0.618421052631579,-5.0,-0.7142857142857143,2.0,0.22222222222222232,-39.0,-0.5064935064935066
Ekurhuleni Metropolitan Municipality,2 018,Unknown,73.0,42.0,57.0,3.0,6.0,9.0,18.0,16.0,12.0,31.0,1.0,2.0,27.0,-12.0,-0.14117647058823535,14.0,0.5,-7.0,-0.109375,1.0,0.5,-1.0,-0.1428571428571429,-7.0,-0.4375,-15.0,-0.4545454545454546,-20.0,-0.5555555555555556,-6.0,-0.33333333333333337,2.0,0.06896551724137923,-1.0,-0.5,-9.0,-0.8181818181818181,-11.0,-0.2894736842105263
Emfuleni,2 018,Unknown,15.0,3.0,13.0,1.0,2.0,2.0,4.0,3.0,1.0,1.0,0.0,4.0,4.0,-58.0,-0.7945205479452055,-39.0,-0.9285714285714286,-44.0,-0.7719298245614035,-2.0,-0.6666666666666667,-4.0,-0.6666666666666667,-7.0,-0.7777777777777778,-14.0,-0.7777777777777778,-13.0,-0.8125,-11.0,-0.9166666666666666,-30.0,-0.967741935483871,-1.0,-1.0,2.0,1.0,-23.0,-0.8518518518518519
Lesedi,2 018,Unknown,2.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,-13.0,-0.8666666666666667,-3.0,-1.0,-11.0,-0.8461538461538461,1.0,1.0,0.0,0.0,-2.0,-1.0,-3.0,-0.75,-3.0,-1.0,-1.0,-1.0,1.0,1.0,0.0,,-4.0,-1.0,-4.0,-1.0
Merafong City,2 018,Unknown,3.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,0.5,0.0,,-1.0,-0.5,-2.0,-1.0,-1.0,-0.5,1.0,,1.0,1.0,1.0,,1.0,,-1.0,-0.5,0.0,,0.0,,2.0,
Midvaal,2 018,Unknown,6.0,6.0,4.0,0.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,6.0,,3.0,3.0,0.0,,0.0,0.0,-1.0,-1.0,-2.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,0.5
Mogale City,2 018,Unknown,11.0,5.0,8.0,0.0,0.0,2.0,5.0,3.0,2.0,5.0,0.0,2.0,2.0,5.0,0.8333333333333333,-1.0,-0.16666666666666663,4.0,1.0,0.0,,-1.0,-1.0,2.0,,5.0,,1.0,0.5,1.0,1.0,3.0,1.5,0.0,,2.0,,-1.0,-0.33333333333333337
Rand West City,2 018,Unknown,12.0,4.0,12.0,3.0,3.0,2.0,7.0,2.0,3.0,6.0,2.0,0.0,3.0,1.0,0.09090909090909083,-1.0,-0.19999999999999996,4.0,0.5,3.0,,3.0,,0.0,0.0,2.0,0.3999999999999999,-1.0,-0.33333333333333337,1.0,0.5,1.0,0.19999999999999996,2.0,,-2.0,-1.0,1.0,0.5
Gauteng,2 018,Unknown,381.0,189.0,304.0,15.0,39.0,37.0,105.0,100.0,64.0,153.0,12.0,28.0,156.0,369.0,30.75,185.0,46.25,292.0,24.333333333333332,12.0,4.0,36.0,12.0,35.0,17.5,98.0,14.0,98.0,49.0,61.0,20.333333333333332,147.0,24.5,10.0,5.0,28.0,,153.0,51.0
<b>Subject Area: HotSpots</b><br />This theme currently reports on public unrest through protests and highlights areas where serious protests have been experienced with an indication of the drivers leading to the unrest. Future functionality will include the ability to predict where future protests might be expected.<br /><br /><b>Data Topic : Protests</b><br />Protests<br /><br /><b>Data Topic Detail:</b> Protests Identified by Municipal IQ<br />,Unknown,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.municipaliq.co.za/"" target=""_blank"" >Municipal IQ</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2018<br /><b>Level Of Confidence:</b> 95 Percent",13.5,5.5,12.5,2.0,2.5,2.0,6.0,3.0,2.5,5.5,0.5,2.0,3.5,-367.5,-0.9645669291338582,-183.5,-0.9708994708994709,-291.5,-0.9588815789473684,-13.0,-0.8666666666666667,-36.5,-0.9358974358974359,-35.0,-0.9459459459459459,-99.0,-0.9428571428571428,-97.0,-0.97,-61.5,-0.9609375,-147.5,-0.9640522875816994,-11.5,-0.9583333333333334,-26.0,-0.9285714285714286,-152.5,-0.9775641025641025
