region,time_frame,unnamed__2,april_1994,april_1995,april_1996,april_1997,april_1998,april_1999,april_2000,april_2001,april_2002,april_2004,april_2005,april_2006,april_2007,april_2008,april_2009,april_2010,april_2011,april_2012,april_2013,april_2014,april_2015,april_2016,april_2017,april_2018,april_2019,april_2020,april_2021,april_2022,april_2023,april_2024,april_2025,april_2026
City of Johannesburg Metropolitan Municipality,April 2026,Unknown,2 448 143,2 540 093,2 635 515,2 734 565,2 837 383,2 944 081,3 054 805,3 169 720,3 319 296,3 541 100,3 683 235,3 757 176,3 779 716,3 836 405,3 859 421,4 299 568,4 434 852,4 539 527,4 646 670,4 756 359,4 868 627,4 983 549,5 089 098,5 443 141,5 674 824,5 795 032,5 917 763,4 803 262,4 831 752,4 860 421,5 030 537,5 045 624
City of Tshwane Metropolitan Municipality,April 2026,Unknown,1 711 629,1 764 445,1 819 054,1 875 497,1 933 844,1 994 187,2 056 570,2 121 095,2 204 539,2 328 012,2 359 285,2 414 305,2 428 793,2 465 222,2 480 015,2 832 384,2 921 455,2 993 281,3 066 882,3 142 288,3 219 553,3 298 706,3 368 580,3 602 931,3 756 308,3 835 872,3 917 115,4 040 314,4 150 827,4 264 373,4 413 629,4 426 868
Ekurhuleni Metropolitan Municipality,April 2026,Unknown,1 881 907,1 952 473,2 025 714,2 101 721,2 180 598,2 262 466,2 347 437,2 435 620,2 550 447,2 720 600,2 830 679,2 892 820,2 910 177,2 953 829,2 971 555,3 081 528,3 178 493,3 220 118,3 262 285,3 305 011,3 348 302,3 392 164,3 463 997,3 704 963,3 862 672,3 944 477,4 028 025,4 066 698,4 147 862,4 230 649,4 378 703,4 391 840
Emfuleni,April 2026,Unknown,499 397,518 149,537 609,557 801,578 755,600 503,623 074,646 496,676 950,722 250,736 369,741 906,746 359,757 555,762 100,699 652,721 667,724 153,726 648,729 149,731 659,734 174,749 729,801 881,836 015,853 720,871 801,945 652,966 627,988 051,1 022 634,1 025 702
Lesedi,April 2026,Unknown,54 264,56 298,58 412,60 607,62 884,65 244,67 695,70 242,73 555,78 469,79 838,80 438,80 921,82 136,82 629,96 483,99 517,102 141,104 833,107 596,110 432,113 340,115 739,123 790,129 059,131 794,134 585,132 783,135 952,139 201,144 071,144 504
Merafong City,April 2026,Unknown,165 800,171 073,176 526,182 172,188 007,194 041,200 287,206 751,215 129,227 539,227 915,232 250,233 644,234 618,236 027,191 496,197 517,195 635,193 776,191 935,190 111,188 304,192 289,205 671,214 426,218 967,223 601,225 476,227 752,230 052,238 104,238 817
Midvaal,April 2026,Unknown,49 262,51 076,52 964,54 921,56 947,59 061,61 257,63 546,66 456,70 884,73 435,73 988,74 432,75 549,76 002,92 397,95 298,98 552,101 918,105 396,108 997,112 715,115 103,123 107,128 349,131 070,133 846,112 252,113 678,115 123,119 148,119 505
Mogale City,April 2026,Unknown,224 265,232 660,241 373,250 416,259 801,269 539,279 642,290 131,303 797,324 044,341 682,348 180,350 268,355 405,357 537,351 369,362 416,366 872,371 384,375 950,380 570,385 249,393 410,420 781,438 691,447 983,457 469,438 214,444 758,451 404,467 203,468 610
Rand West City,April 2026,Unknown,95 696,99 285,103 013,106 877,110 892,115 055,119 376,123 864,129 614,138 266,143 271,145 996,146 872,149 075,149 970,144 733,261 053,262 075,263 101,264 128,265 161,266 199,271 832,290 743,303 116,309 531,316 083,334 777,341 526,348 414,360 614,361 697
Gauteng,April 2026,Unknown,7 130 363,7 385 552,7 650 180,7 924 577,8 209 111,8 504 177,8 810 143,9 127 465,9 539 783,10 151 164,10 475 709,10 687 059,10 751 182,10 909 794,10 975 256,11 789 610,12 272 268,12 502 354,12 737 497,12 977 812,13 223 412,13 474 400,13 759 777,14 717 008,15 343 460,15 668 446,16 000 288,15 099 428,15 360 734,15 627 688,16 174 643,16 223 167
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> TimeSeries Population<br />Estimated population figures from 1994 to the current year per province with a national summary. The information is aligned with STATS SA Census and GHS results annually and is available to municipal level.",Unknown,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
