region,time_frame,unnamed__2,total_households,total_population,hh_density,urban_households,rural_households,hh_density_change,hh_density_pct_change
City of Johannesburg Metropolitan Municipality,April 2026,Unknown,1 999 327,5 045 624,2.52,1 908 922,90 405,,
City of Tshwane Metropolitan Municipality,April 2026,Unknown,1 469 057,4 426 868,3.01,1 320 442,148 615,0.48999999999999977,0.19444444444444442
Ekurhuleni Metropolitan Municipality,April 2026,Unknown,1 567 566,4 391 840,2.8,1 369 578,197 988,-0.20999999999999996,-0.06976744186046513
Emfuleni,April 2026,Unknown,326 534,1 025 702,3.14,302 095,24 439,0.3400000000000003,0.12142857142857144
Lesedi,April 2026,Unknown,47 233,144 504,3.06,39 418,7 815,-0.08000000000000007,-0.02547770700636942
Merafong City,April 2026,Unknown,82 825,238 817,2.88,76 671,6 154,-0.18000000000000016,-0.05882352941176472
Midvaal,April 2026,Unknown,39 203,119 505,3.05,24 585,14 618,0.16999999999999993,0.05902777777777768
Mogale City,April 2026,Unknown,163 696,468 610,2.86,103 841,59 855,-0.18999999999999995,-0.06229508196721312
Rand West City,April 2026,Unknown,144 056,361 697,2.51,121 712,22 344,-0.3500000000000001,-0.1223776223776224
Gauteng,April 2026,Unknown,5 839 497,16 223 167,2.78,5 267 264,572 233,0.27,0.10756972111553798
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> Total Households<br />The estimated current total households as calculated by DWS based on Census and General Household Survey results. This also includes household density figures as well as a split between urban and rural households and is available to municipal level.",Unknown,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",Unknown,Unknown,2.87,Unknown,Unknown,0.0900000000000003,0.03237410071942448
