region,time_frame,unnamed__2,total_population,total_households,hh_density,urban_population,rural_population,hh_density_change,hh_density_pct_change
City of Johannesburg Metropolitan Municipality,April 2026,Unknown,5 045 624,1 999 327,2.52,4 827 348,218 276,,
City of Tshwane Metropolitan Municipality,April 2026,Unknown,4 426 868,1 469 057,3.01,3 977 415,449 453,0.48999999999999977,0.19444444444444442
Ekurhuleni Metropolitan Municipality,April 2026,Unknown,4 391 840,1 567 566,2.8,3 824 427,567 413,-0.20999999999999996,-0.06976744186046513
Emfuleni,April 2026,Unknown,1 025 702,326 534,3.14,952 341,73 361,0.3400000000000003,0.12142857142857144
Lesedi,April 2026,Unknown,144 504,47 233,3.06,118 922,25 582,-0.08000000000000007,-0.02547770700636942
Merafong City,April 2026,Unknown,238 817,82 825,2.88,221 393,17 424,-0.18000000000000016,-0.05882352941176472
Midvaal,April 2026,Unknown,119 505,39 203,3.05,73 846,45 659,0.16999999999999993,0.05902777777777768
Mogale City,April 2026,Unknown,468 610,163 696,2.86,310 942,157 668,-0.18999999999999995,-0.06229508196721312
Rand West City,April 2026,Unknown,361 697,144 056,2.51,296 769,64 928,-0.3500000000000001,-0.1223776223776224
Gauteng,April 2026,Unknown,16 223 167,5 839 497,2.78,14 603 403,1 619 764,0.27,0.10756972111553798
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> Total Population<br />The estimated current total population as calculated by DWS based on Census and General Household Survey results. This is also aligned annually with the STATS SA mid-year population estimates and is available to municipal level.",Unknown,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",Unknown,Unknown,2.87,Unknown,Unknown,0.0900000000000003,0.03237410071942448
