dataset,category,matched_count,matched_columns
Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,water_system,6,"1__water_services_planning, 5__water_resource_management__wrm, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 9__wastewater_environmental_safety___regulatory_compliance, 17__water_and_sanitation_service_quality"
Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,population_demand,1,6__water_conservation___water_demand_management__wc_wdm
Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,infrastructure,2,"10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets"
Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Households_Served_with_Water__2026_04_21_engineered.csv,water_system,16,"households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Outputs/FeatureEngineering/Households_Served_with_Water__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Households_Served_with_Water__2026_04_21_engineered.csv,population_demand,16,"households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Outputs/FeatureEngineering/Households_Served_with_Water__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Institutional_Compliance__2026_04_21_engineered.csv,water_system,6,"potable_water_compliance_percentage, effluent_water_compliance_percentage, potable_water_compliance_percentage_change, potable_water_compliance_percentage_pct_change, effluent_water_compliance_percentage_change, effluent_water_compliance_percentage_pct_change"
Outputs/FeatureEngineering/Institutional_Compliance__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Institutional_Compliance__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Microbiological___Acute_Health__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Microbiological___Acute_Health__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/NIWIS_RWT_16-Jul-2026__engineered.csv,temporal,1,date
Outputs/FeatureEngineering/NIWIS_WasteWaterQuality_16-Jul-2026__engineered.csv,geographic,1,wsa
Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,water_system,9,"population_with_access_to_water, population_reliable_supply, population_reliable_supply_1, urban_population_with_access_to_water, urban_population_reliable_supply, urban_population_reliable_supply_1, rural_population_with_access_to_water, rural_population_reliable_supply, rural_population_reliable_supply_1"
Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,geographic,1,wsa_name
Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,population_demand,12,"population, population_with_access_to_water, population_reliable_supply, population_reliable_supply_1, urban_population, urban_population_with_access_to_water, urban_population_reliable_supply, urban_population_reliable_supply_1, rural_population, rural_population_with_access_to_water, rural_population_reliable_supply, rural_population_reliable_supply_1"
Outputs/FeatureEngineering/Operational__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/Operational__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/People_Served_with_Water__2026_04_21_engineered.csv,water_system,16,"population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Outputs/FeatureEngineering/People_Served_with_Water__2026_04_21_engineered.csv,geographic,1,region
Outputs/FeatureEngineering/People_Served_with_Water__2026_04_21_engineered.csv,population_demand,16,"population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627, population_served_with_water_201415_change, population_served_with_water_201415_pct_change"
Outputs/FeatureEngineering/People_Served_with_Water__2026_04_21_engineered.csv,temporal,1,time_frame
Outputs/FeatureEngineering/Piped_Water_Households___2026_04_21_engineered.csv,water_system,7,"piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water"
