feature_1,feature_2,correlation,absolute_correlation
water_access_rate_pct,water_access_gap_pct,-1.0000000000000002,1.0000000000000002
urban_population_share_pct,rural_population_share_pct,-1.0,1.0
urban_population,urban_population_with_access_to_water,0.9996721740244502,0.9996721740244502
population,population_with_access_to_water,0.9892030752312186,0.9892030752312186
population_with_access_to_water,urban_population,0.9825932496058304,0.9825932496058304
population_with_access_to_water,urban_population_with_access_to_water,0.980483974336765,0.980483974336765
population,urban_population,0.9537341656067703,0.9537341656067703
population,urban_population_with_access_to_water,0.9490040363875448,0.9490040363875448
rural_population,rural_population_with_access_to_water,0.9463367270011076,0.9463367270011076
rural_population,water_access_gap_pct,0.7883602424959623,0.7883602424959623
rural_population,water_access_rate_pct,-0.7883602424959621,0.7883602424959621
rural_population_with_access_to_water,log_population,0.7279841373040857,0.7279841373040857
water_access_gap_pct,urban_population_share_pct,-0.7247800946699303,0.7247800946699303
water_access_gap_pct,rural_population_share_pct,0.7247800946699303,0.7247800946699303
water_access_rate_pct,urban_population_share_pct,0.72478009466993,0.72478009466993
water_access_rate_pct,rural_population_share_pct,-0.72478009466993,0.72478009466993
rural_population,urban_population_share_pct,-0.7244715695527421,0.7244715695527421
population,log_population,0.710190943090207,0.710190943090207
rural_population,rural_population_share_pct,0.7099990675029677,0.7099990675029677
rural_population_with_access_to_water,urban_population_share_pct,-0.7009894411123975,0.7009894411123975
rural_population_with_access_to_water,rural_population_share_pct,0.6888707598286696,0.6888707598286696
rural_population,log_population,0.6698528462980949,0.6698528462980949
population_with_access_to_water,log_population,0.6647642594347452,0.6647642594347452
rural_population_with_access_to_water,water_access_gap_pct,0.62035198594582,0.62035198594582
rural_population_with_access_to_water,water_access_rate_pct,-0.6203519859458194,0.6203519859458194
urban_population,log_population,0.5555740396889007,0.5555740396889007
urban_population_with_access_to_water,log_population,0.5440881054730814,0.5440881054730814
population,rural_population_with_access_to_water,0.49152545831327044,0.49152545831327044
population,rural_population,0.4077337102725458,0.4077337102725458
population_with_access_to_water,rural_population_with_access_to_water,0.4021612566014099,0.4021612566014099
log_population,urban_population_share_pct,-0.40213267272056424,0.40213267272056424
log_population,water_access_rate_pct,-0.3870387403209842,0.3870387403209842
log_population,water_access_gap_pct,0.3870387403209839,0.3870387403209839
log_population,rural_population_share_pct,0.35357444991075704,0.35357444991075704
population_with_access_to_water,rural_population,0.2864175112185616,0.2864175112185616
urban_population,rural_population_with_access_to_water,0.22631145855079454,0.22631145855079454
urban_population_with_access_to_water,rural_population_with_access_to_water,0.21431272478175803,0.21431272478175803
urban_population_with_access_to_water,rural_population_share_pct,-0.2073167110387765,0.2073167110387765
urban_population,rural_population_share_pct,-0.19787107890861388,0.19787107890861388
urban_population_with_access_to_water,urban_population_share_pct,0.18431216308967563,0.18431216308967563
urban_population,urban_population_share_pct,0.1745257005551815,0.1745257005551815
urban_population_with_access_to_water,water_access_gap_pct,-0.17407920268463362,0.17407920268463362
urban_population_with_access_to_water,water_access_rate_pct,0.1740792026846335,0.1740792026846335
urban_population,water_access_gap_pct,-0.15857198870693953,0.15857198870693953
urban_population,water_access_rate_pct,0.1585719887069395,0.1585719887069395
urban_population,rural_population,0.11680552242106688,0.11680552242106688
urban_population_with_access_to_water,rural_population,0.10234088774401844,0.10234088774401844
population,water_access_rate_pct,-0.09233590827337429,0.09233590827337429
population,water_access_gap_pct,0.09233590827337416,0.09233590827337416
population,urban_population_share_pct,-0.061238338222306815,0.061238338222306815
population_with_access_to_water,rural_population_share_pct,-0.05323581248067238,0.05323581248067238
population_with_access_to_water,urban_population_share_pct,0.05323581248067232,0.05323581248067232
population_with_access_to_water,water_access_gap_pct,-0.03831105475724739,0.03831105475724739
population_with_access_to_water,water_access_rate_pct,0.03831105475724731,0.03831105475724731
population,rural_population_share_pct,0.028556250708981407,0.028556250708981407
