feature_name,meaning,source,feature_type,why_included,final_model_use,leakage_status
wsa_name,Water service area / municipality identifier,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Used only to test whether municipality identity improves validation performance.,Geographic experiment,Passed leakage screen
population,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
population_with_access_to_water,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
urban_population,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
urban_population_with_access_to_water,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
rural_population,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
rural_population_with_access_to_water,Population or water-access variable from the reliability source,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Original,Available before target modelling and not directly named as reliable-supply target.,Eligible,Passed leakage screen
log_population,Log-transformed population,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Engineered,Reduces population scale skew while preserving population magnitude.,Eligible,Passed leakage screen
water_access_rate_pct,Population with access to water as a percentage of total population,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Engineered,Represents breadth of water access without directly using the reliability percentage.,Eligible,Passed leakage screen
water_access_gap_pct,Percentage gap in population water access,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Engineered,Represents unmet basic-service pressure.,Eligible,Passed leakage screen
urban_population_share_pct,Urban population as a percentage of total population,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Engineered,Represents settlement structure and service-delivery context.,Eligible,Passed leakage screen
rural_population_share_pct,Rural population as a percentage of total population,Outputs/FeatureEngineering/NIWIS_Water_Supply_Reliability_-_population_16-Jul-2026__engineered.csv,Engineered,Represents settlement structure and service-delivery context.,Eligible,Passed leakage screen
