feature,importance
numeric__water_access_gap_pct,0.31485629672739246
numeric__water_access_rate_pct,0.27838581813211083
numeric__rural_population_share_pct,0.16628472142325287
numeric__urban_population_share_pct,0.1153263968712988
numeric__rural_population,0.051210727189201236
numeric__rural_population_with_access_to_water,0.024541961017137653
numeric__population,0.007949813393463137
numeric__log_population,0.007180529726925621
numeric__missingindicator_urban_population_with_access_to_water,0.006538840422195789
numeric__population_with_access_to_water,0.006153440654251112
numeric__urban_population_with_access_to_water,0.005532974167622011
numeric__missingindicator_urban_population,0.005486589036900782
numeric__urban_population,0.005157294777119783
numeric__missingindicator_urban_population_share_pct,0.005035499637690255
numeric__missingindicator_rural_population_with_access_to_water,0.0001094373407996836
numeric__missingindicator_population_with_access_to_water,9.858263922756065e-05
numeric__missingindicator_water_access_gap_pct,9.517807616382087e-05
numeric__missingindicator_water_access_rate_pct,3.8611815848572585e-05
numeric__missingindicator_rural_population,1.7286951397978127e-05
numeric__missingindicator_rural_population_share_pct,0.0
categorical__wsa_name_Alfred Nzo,0.0
categorical__wsa_name_Amajuba,0.0
categorical__wsa_name_Amathole,0.0
categorical__wsa_name_Beaufort West,0.0
categorical__wsa_name_Bela-Bela,0.0
categorical__wsa_name_Bergrivier,0.0
categorical__wsa_name_Bitou,0.0
categorical__wsa_name_Blue Crane Route,0.0
categorical__wsa_name_Breede Valley,0.0
categorical__wsa_name_Buffalo City Metropolitan Municipality,0.0
categorical__wsa_name_Bushbuckridge,0.0
categorical__wsa_name_Cape Agulhas,0.0
categorical__wsa_name_Capricorn,0.0
categorical__wsa_name_Cederberg,0.0
categorical__wsa_name_Chief Albert Luthuli,0.0
categorical__wsa_name_Chris Hani,0.0
categorical__wsa_name_City of Johannesburg Metropolitan Municipality,0.0
categorical__wsa_name_City of Matlosana,0.0
categorical__wsa_name_City of Mbombela,0.0
categorical__wsa_name_City of Tshwane Metropolitan Municipality,0.0
categorical__wsa_name_Dawid Kruiper,0.0
categorical__wsa_name_Dihlabeng,0.0
categorical__wsa_name_Dipaleseng,0.0
categorical__wsa_name_Dr Beyers Naudé,0.0
categorical__wsa_name_Dr JS Moroka,0.0
categorical__wsa_name_Dr Pixley Ka Isaka Seme,0.0
categorical__wsa_name_Dr Ruth Segomotsi Mompati,0.0
categorical__wsa_name_Drakenstein,0.0
categorical__wsa_name_Ekurhuleni Metropolitan Municipality,0.0
categorical__wsa_name_Emakhazeni,0.0
categorical__wsa_name_Emalahleni,0.0
categorical__wsa_name_Emfuleni,0.0
categorical__wsa_name_Ethekwini Metropolitan Municipality,0.0
categorical__wsa_name_Ga-Segonyana,0.0
categorical__wsa_name_Gamagara,0.0
categorical__wsa_name_George,0.0
categorical__wsa_name_Govan Mbeki,0.0
categorical__wsa_name_Hantam,0.0
categorical__wsa_name_Harry Gwala,0.0
categorical__wsa_name_Hessequa,0.0
categorical__wsa_name_JB Marks,0.0
categorical__wsa_name_Joe Gqabi,0.0
