model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,param_model__learning_rate,param_model__l2_regularization,param_model__max_iter,param_model__max_leaf_nodes
Ridge Regression,0.021162128448486327,0.003995116735514172,0.013745546340942383,0.0030700167396004348,0.01,{'model__alpha': 0.01},-12.514999028132985,-11.021066932410257,-9.636394646283327,-20.567797309255106,-9.999663327819839,-12.747984248780302,4.0353750648569795,4,,,,,,,,
Ridge Regression,0.021768856048583984,0.005278503679630811,0.01209430694580078,0.0006016459355337638,0.1,{'model__alpha': 0.1},-12.506156838401164,-11.02105341760046,-9.628554123260855,-20.566021465380285,-9.996905947037622,-12.743738358336078,4.0363761594931145,3,,,,,,,,
Ridge Regression,0.02002120018005371,0.0010213337345677778,0.014460325241088867,0.005027506003954285,1.0,{'model__alpha': 1.0},-12.41766406140131,-11.011343437215704,-9.56620517489123,-20.555656321994253,-9.97114251482023,-12.704402302064546,4.047464566800554,2,,,,,,,,
Ridge Regression,0.019796991348266603,0.0008258011863230088,0.01220407485961914,0.0006868000750618045,10.0,{'model__alpha': 10.0},-11.776785408072369,-10.876579335380741,-9.333427452660711,-20.582525373230194,-9.930907583540634,-12.500045030576931,4.125849438380729,1,,,,,,,,
Ridge Regression,0.019239425659179688,0.0020276483182842175,0.010988664627075196,0.0014524009403926272,100.0,{'model__alpha': 100.0},-11.121372077313962,-11.612538621696107,-9.854752697523319,-20.83435341649362,-11.032836165054906,-12.891170595616382,4.013339765174788,5,,,,,,,,
Random Forest,0.5318458557128907,0.019255886166379525,0.07699284553527833,0.0065154894097487195,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.416246592028397,-12.259563715728223,-9.802701540901875,-20.24267117378534,-10.713749460389673,-12.886986496566703,3.7655970359701896,20,,sqrt,1.0,200.0,,,,
Random Forest,1.6062716960906982,0.1946432635022257,0.20976500511169432,0.04277527602355928,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-11.996998140159894,-12.051627846477833,-9.711801471019678,-20.355117538348924,-10.670448268465577,-12.957198652894382,3.8008703617634745,22,,sqrt,1.0,400.0,,,,
Random Forest,0.4893664360046387,0.016500983791842803,0.07431597709655761,0.008948147937233081,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.825862338570692,-13.742073840610114,-10.999002117254452,-20.544509424813864,-11.797919249521962,-13.781873394154218,3.4997501604829044,27,,sqrt,2.0,200.0,,,,
Random Forest,0.9665994644165039,0.01951015194066497,0.12321033477783203,0.011980803383783515,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.847092835911878,-13.641523351988367,-10.821844443803052,-20.537451860937566,-11.957987392098945,-13.761179976947961,3.506767879731625,26,,sqrt,2.0,400.0,,,,
Random Forest,0.4750603199005127,0.017393359028413366,0.07128167152404785,0.0025445223318159393,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-11.73916140207336,-14.722277748005268,-11.81583114732721,-20.852796102529332,-12.85373849830776,-14.396760979648585,3.4026843334746424,34,,sqrt,4.0,200.0,,,,
Random Forest,0.9286067962646485,0.00626681422313864,0.11289639472961426,0.004354857657034182,,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-11.837866442941493,-14.391539230358514,-11.467714182048715,-20.832890550356765,-12.636731176319085,-14.233348316404914,3.4500792433274774,31,,sqrt,4.0,400.0,,,,
Random Forest,0.8504116535186768,0.20862389549760518,0.09096856117248535,0.016746385816151243,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.352132013414924,-11.679406823550586,-10.111171173509033,-20.95137907155517,-10.201587560277078,-12.859135328461358,4.092947453158542,18,,0.7,1.0,200.0,,,,
Random Forest,1.9297603607177733,0.5791120642958334,0.1978229522705078,0.07577467386112714,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 1, 'model__n_estimators': 400}",-11.29605727676697,-11.507359859563794,-9.911159004500936,-21.022909490303665,-10.379837592057982,-12.82346464463867,4.141227792901767,15,,0.7,1.0,400.0,,,,
Random Forest,1.06970157623291,0.20851480275071163,0.16353821754455566,0.01152973442697307,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 200}",-11.156093061934643,-11.286722930706622,-10.675459387907454,-20.53969667785163,-9.857867985144287,-12.703168008708927,3.9501461645665383,9,,0.7,2.0,200.0,,,,
Random Forest,2.66714129447937,0.4048768793322473,0.3050539970397949,0.059467000639447626,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 2, 'model__n_estimators': 400}",-11.304926797372179,-11.402298349149943,-10.58342898395548,-20.628378224947273,-10.029746717421746,-12.789755814569324,3.951184253384343,13,,0.7,2.0,400.0,,,,
Random Forest,1.2759076595306396,0.25639596911609985,0.15937108993530275,0.04714383287890569,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 200}",-9.858680974626957,-12.137870495499822,-10.518632096345268,-20.426183666206175,-9.877170215897523,-12.563707489715148,4.017881359797471,2,,0.7,4.0,200.0,,,,
Random Forest,1.811384391784668,0.1758287053808656,0.19563560485839843,0.05876070134280657,,"{'model__max_depth': None, 'model__max_features': 0.7, 'model__min_samples_leaf': 4, 'model__n_estimators': 400}",-9.982330120631373,-12.195595340517166,-10.40865124452601,-20.500593004479644,-10.039156557768269,-12.625265253584493,4.019747389748344,5,,0.7,4.0,400.0,,,,
Random Forest,0.5966956138610839,0.17532829442489736,0.08513550758361817,0.025310252522352576,,"{'model__max_depth': 4, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200}",-11.461456168256994,-13.055404170390288,-9.62234635291365,-20.50419577367908,-11.15007790842448,-13.158696074732898,3.831134939881151,23,4,sqrt,1.0,200.0,,,,
