stage,file,rows,columns,column_names
Notebook 2 / CleanData,Outputs/CleanData/Areas of Highest Vulnerability_ 2026_04_21_clean.csv,11.0,21.0,"region, time_frame, unnamed__2, 1__water_services_planning, 2__management_skill_level__technical, 3__staff_skill_level__technical, 4__technical_staff_capacity__numbers, 5__water_resource_management__wrm, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 8__basic_sanitation, 9__wastewater_environmental_safety___regulatory_compliance, 10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 12__financial_management, 13__revenue_collection, 14__financial_asset_management, 15__information_management__it, 16__organisational_performance_monitoring, 17__water_and_sanitation_service_quality, 18__customer_care__crm"
Notebook 2 / CleanData,Outputs/CleanData/Drinking Water Quality Compliance - SANS 241 _2006 - National [From_ 2022-07-01 To_ 2026-06-30]_clean.csv,4.0,2.0,"category, sans_241__2006"
Notebook 2 / CleanData,Outputs/CleanData/Households Served with Water_ 2026_04_21_clean.csv,11.0,17.0,"region, time_frame, unnamed__2, households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627"
Notebook 2 / CleanData,Outputs/CleanData/Institutional Compliance_ 2026_04_21_clean.csv,11.0,5.0,"region, time_frame, unnamed__2, potable_water_compliance_percentage, effluent_water_compliance_percentage"
Notebook 2 / CleanData,Outputs/CleanData/Microbiological _ Acute Health_ 2026_04_21_clean.csv,11.0,8.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result"
Notebook 2 / CleanData,Outputs/CleanData/NIWIS_Access to Water Infrastructure Delivered- Population_16-Jul-2026 _clean.csv,,,READ ERROR: No columns to parse from file
Notebook 2 / CleanData,Outputs/CleanData/NIWIS_GroundwaterStatus_16-Jul-2026 _clean.csv,1946.0,8.0,"quaternary, reserve_study, available__gra2_m3_a, recharge__gwr_m3_a, reserve__gwr_m3_a, abstracted__warms_m3_a, surplus__gra2_m3_a, surplus__gwr_m3_a"
Notebook 2 / CleanData,Outputs/CleanData/NIWIS_RWT_16-Jul-2026 _clean.csv,9.0,5.0,"wma, date, domestic_and_industry_c_m3, irrigation_c_m3, forestry_c_m3"
Notebook 2 / CleanData,Outputs/CleanData/NIWIS_WasteWaterQuality_16-Jul-2026 _clean.csv,143.0,5.0,"wsa, chemical, microbiological, physical, monitoring"
Notebook 2 / CleanData,Outputs/CleanData/NIWIS_Water Supply Reliability - population_16-Jul-2026 _clean.csv,144.0,13.0,"wsa_name, population, population_with_access_to_water, population_reliable_supply, population_reliable_supply_1, urban_population, urban_population_with_access_to_water, urban_population_reliable_supply, urban_population_reliable_supply_1, rural_population, rural_population_with_access_to_water, rural_population_reliable_supply, rural_population_reliable_supply_1"
Notebook 2 / CleanData,Outputs/CleanData/Operational_ 2026_04_21_clean.csv,11.0,8.0,"region, time_frame, unnamed__2, risk_type, analysis_done, analysis_failed, compliance_percentage, compliance_result"
Notebook 2 / CleanData,Outputs/CleanData/People Served with Water_ 2026_04_21_clean.csv,11.0,17.0,"region, time_frame, unnamed__2, population_served_with_water_1994_to_april_2025, population_served_with_water_201415, population_served_with_water_201516, population_served_with_water_201617, population_served_with_water_201718, population_served_with_water_201819, population_served_with_water_201920, population_served_with_water_202021, population_served_with_water_202122, population_served_with_water_202223, population_served_with_water_202324, population_served_with_water_202425, population_served_with_water_202526, planned_population_to_be_served_202627"
Notebook 2 / CleanData,Outputs/CleanData/Piped Water Households _ 2026_04_21_clean.csv,10.0,12.0,"region, time_frame, unnamed__2, piped__tap__water_inside_dwelling_institution, piped__tap__water_inside_yard, piped__tap__water_on_community_stand__distance_less_than_200m_fr, piped__tap__water_on_community_stand__distance_between_200m_and, piped__tap__water_on_community_stand__distance_between_500m_and, piped__tap__water_on_community_stand__distance_greater_than_1000, no_access_to_piped__tap__water, unspecified, not_applicable"
Notebook 2 / CleanData,Outputs/CleanData/Potable Systems_ 2026_04_21_clean.csv,61.0,11.0,"region, time_frame, unnamed__2, system_name, system_area, population_in_system, households_in_system, households_with_access_to_rdp_water, households_with_access_to_reliable_water, drinking_water_quality_percentage, latest_blue_drop_score"
Notebook 2 / CleanData,Outputs/CleanData/Protests Identified by Municipal IQ_ 2026_04_21_clean.csv,11.0,16.0,"region, time_frame, unnamed__2, total_protests, informal, violent, xenophobia, criminality, corruption, councillor, water, sanitation, electricity, refuse_removal, roads, housing"
Notebook 2 / CleanData,Outputs/CleanData/Residential Tariffs_ 2026_04_21_clean.csv,11.0,7.0,"region, time_frame, unnamed__2, tariff_0_6kl__incl_vat, tariff_6_20kl__incl_vat, tariff_20_60kl__incl_vat, tariff__60kl__incl_vat"
Notebook 2 / CleanData,Outputs/CleanData/Source of Water Households _ 2026_04_21_clean.csv,10.0,13.0,"region, time_frame, unnamed__2, regional_local_water_scheme__operated_by_municipality_or_other_w, borehole, spring, rain_water_tank, dam_pool_stagnant_water, river_stream, water_vendor, water_tanker, other, not_applicable"
Notebook 2 / CleanData,Outputs/CleanData/Surface Water Storage ( 2020 -2026)_clean.csv,375.0,9.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2024_2025, 2025_2026"
Notebook 2 / CleanData,Outputs/CleanData/Surface Water Storage (2014-2020)_clean.csv,374.0,9.0,"datetime, high, moderately_high, normal, moderately_low, low, very_low, 2018_2019, 2019_2020"
Notebook 2 / CleanData,Outputs/CleanData/TimeSeries Population_ 2026_04_21_clean.csv,11.0,35.0,"region, time_frame, unnamed__2, april_1994, april_1995, april_1996, april_1997, april_1998, april_1999, april_2000, april_2001, april_2002, april_2004, april_2005, april_2006, april_2007, april_2008, april_2009, april_2010, april_2011, april_2012, april_2013, april_2014, april_2015, april_2016, april_2017, april_2018, april_2019, april_2020, april_2021, april_2022, april_2023, april_2024, april_2025, april_2026"
Notebook 2 / CleanData,Outputs/CleanData/Timeseries Households_ 2026_04_21_clean.csv,11.0,35.0,"region, time_frame, unnamed__2, april_1994, april_1995, april_1996, april_1997, april_1998, april_1999, april_2000, april_2001, april_2002, april_2004, april_2005, april_2006, april_2007, april_2008, april_2009, april_2010, april_2011, april_2012, april_2013, april_2014, april_2015, april_2016, april_2017, april_2018, april_2019, april_2020, april_2021, april_2022, april_2023, april_2024, april_2025, april_2026"
Notebook 2 / CleanData,Outputs/CleanData/Total Households_ 2026_04_21_clean.csv,11.0,8.0,"region, time_frame, unnamed__2, total_households, total_population, hh_density, urban_households, rural_households"
Notebook 2 / CleanData,Outputs/CleanData/Total Population_ 2026_04_21_clean.csv,11.0,8.0,"region, time_frame, unnamed__2, total_population, total_households, hh_density, urban_population, rural_population"
Notebook 2 / CleanData,Outputs/CleanData/Verified - River Flow ( National )_clean.csv,7.0,2.0,"flow, flow_level"
Notebook 2 / CleanData,Outputs/CleanData/Vulnerability Score Per leg_ 2026_04_21_clean.csv,11.0,9.0,"region, time_frame, unnamed__2, 1__water_services_planning, 4__technical_staff_capacity__numbers, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets"
Notebook 2 / CleanData,Outputs/CleanData/Water demand growth_ 2026_04_21_clean.csv,11.0,10.0,"region, time_frame, unnamed__2, water_demand_growth, non_revenue_water, water_losses, system_input_volume__litres, revenue_water__litres, non_revenue_water__litres, water_losses__litres"
Notebook 2 / CleanData,Outputs/CleanData/Weather_clean.csv,21301.0,14.0,"station, name, latitude, longitude, elevation, date, prcp, prcp_attributes, tavg, tavg_attributes, tmax, tmax_attributes, tmin, tmin_attributes"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Areas_of_Highest_Vulnerability__2026_04_21_engineered.csv,11.0,21.0,"region, time_frame, unnamed__2, 1__water_services_planning, 2__management_skill_level__technical, 3__staff_skill_level__technical, 4__technical_staff_capacity__numbers, 5__water_resource_management__wrm, 6__water_conservation___water_demand_management__wc_wdm, 7__drinking_water_safety___regulatory_compliance, 8__basic_sanitation, 9__wastewater_environmental_safety___regulatory_compliance, 10__infrastructure_asset_management__iam, 11__operation___maintenance__o_m__of_assets, 12__financial_management, 13__revenue_collection, 14__financial_asset_management, 15__information_management__it, 16__organisational_performance_monitoring, 17__water_and_sanitation_service_quality, 18__customer_care__crm"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Drinking_Water_Quality_Compliance_-_SANS_241__2006_-_National__From__2022-07-01_To__2026-06-30__engineered.csv,4.0,4.0,"category, sans_241__2006, sans_241__2006_change, sans_241__2006_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Households_Served_with_Water__2026_04_21_engineered.csv,11.0,19.0,"region, time_frame, unnamed__2, households_served_with_water_1994_to_april_2025, households_served_with_water_201415, households_served_with_water_201516, households_served_with_water_201617, households_served_with_water_201718, households_served_with_water_201819, households_served_with_water_201920, households_served_with_water_202021, households_served_with_water_202122, households_served_with_water_202223, households_served_with_water_202324, households_served_with_water_202425, households_served_with_water_202526, planned_households_to_be_served_202627, households_served_with_water_201415_change, households_served_with_water_201415_pct_change"
Notebook 3 / FeatureEngineering,Outputs/FeatureEngineering/Institutional_Compliance__2026_04_21_engineered.csv,11.0,9.0,"region, time_frame, unnamed__2, potable_water_compliance_percentage, effluent_water_compliance_percentage, potable_water_compliance_percentage_change, potable_water_compliance_percentage_pct_change, effluent_water_compliance_percentage_change, effluent_water_compliance_percentage_pct_change"
