region,time_frame,unnamed__2,risk_type,analysis_done,analysis_failed,compliance_percentage,compliance_result,analysis_failed_change,analysis_failed_pct_change,compliance_percentage_change,compliance_percentage_pct_change
City of Johannesburg Metropolitan Municipality,2 026,Unknown,Operational,4 751,66.0,98.61,Excellent,,,,
City of Tshwane Metropolitan Municipality,2 026,Unknown,Operational,1 508,196.0,87.0,Poor,130.0,1.9696969696969697,-11.61,-0.11773653787648308
Ekurhuleni Metropolitan Municipality,2 026,Unknown,Operational,3 308,35.0,98.94,Excellent,-161.0,-0.8214285714285714,11.939999999999998,0.13724137931034486
Emfuleni,2 026,Unknown,Operational,0,0.0,0.0,Bad,-35.0,-1.0,-98.94,-1.0
Lesedi,2 026,Unknown,Operational,124,1.0,99.19,Excellent,1.0,,99.19,
Merafong City,2 026,Unknown,Operational,387,10.0,97.42,Excellent,9.0,9.0,-1.769999999999996,-0.017844540780320606
Midvaal,2 026,Unknown,Operational,377,6.0,98.41,Excellent,-4.0,-0.4,0.9899999999999949,0.010162184356395043
Mogale City,2 026,Unknown,Operational,1 342,92.0,93.14,Good,86.0,14.333333333333334,-5.269999999999996,-0.05355146834671265
Rand West City,2 026,Unknown,Operational,0,0.0,0.0,Bad,-92.0,-1.0,-93.14,-1.0
Gauteng,2 026,Unknown,Operational,11 797,406.0,96.56,Excellent,406.0,,96.56,
<b>Subject Area: Water Quality Management</b><br />Water Quality Management theme reports on all regulatory activities related to drinking water quality as well as waste water effluent quality. Key areas included are monitoring compliance linked to drinking water or waste water effluent compliance.<br /><br /><b>Data Topic : Drinking Water Quality</b><br />Drinking Water Quality<br /><br /><b>Data Topic Detail:</b> Operational<br />,Unknown,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.dwa.gov.za/Dir_WS/DWQR"" target=""_blank"" >DWA Bluedrop System</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2026<br /><b>Level Of Confidence:</b> 95 Percent",Unknown,Unknown,22.5,96.99,Unknown,-383.5,-0.9445812807881774,0.4299999999999926,0.004453189726594697
