region,time_frame,unnamed__2,population_served_with_water_1994_to_april_2025,population_served_with_water_201415,population_served_with_water_201516,population_served_with_water_201617,population_served_with_water_201718,population_served_with_water_201819,population_served_with_water_201920,population_served_with_water_202021,population_served_with_water_202122,population_served_with_water_202223,population_served_with_water_202324,population_served_with_water_202425,population_served_with_water_202526,planned_population_to_be_served_202627,population_served_with_water_201415_change,population_served_with_water_201415_pct_change
City of Johannesburg Metropolitan Municipality,April 2026,Unknown,1 877 971,877,61 779,37 123,94 764,62 860,30 140,30 769,0.0,24 998,7 780,52 267,14 933,8 299,,
City of Tshwane Metropolitan Municipality,April 2026,Unknown,1 154 171,153,32 631,29 923,56 353,41 544,24 560,23 822,0.0,16 038,27 098,42 371,12 617,7 764,-724.0,-0.8255416191562144
Ekurhuleni Metropolitan Municipality,April 2026,Unknown,1 528 720,658,24 089,37 491,66 459,46 565,26 498,21 012,0.0,17 028,21 736,46 224,13 094,11 383,505.0,3.3006535947712417
Emfuleni,April 2026,Unknown,392 260,0,2 117,2 189,13 579,9 070,5 101,4 584,0.0,3 687,5 296,11 809,3 067,5 531,-658.0,-1.0
Lesedi,April 2026,Unknown,46 377,278,1 213,742,1 514,1 356,757,818,0.0,555,801,1 429,425,210,278.0,
Merafong City,April 2026,Unknown,92 830,0,4,1 341,3 499,2 385,1 417,1 438,0.0,948,568,2 479,704,423,-278.0,-1.0
Midvaal,April 2026,Unknown,37 885,0,1 553,1 027,289,1 279,721,770,0.0,514,342,1 630,340,205,0.0,
Mogale City,April 2026,Unknown,148 801,0,1 932,1 865,5 534,4 569,2 623,2 406,0.0,1 846,1 615,4 884,1 361,579,0.0,
Rand West City,April 2026,Unknown,82 995,0,239,1 712,2 564,3 086,1 748,1 946,0.0,1 242,1 700,3 803,1 071,2 561,0.0,
Gauteng,April 2026,Unknown,5 362 010,0,125 557,113 413,244 555,172 714,93 565,87 565,0.0,66 856,66 936,166 896,47 612,36 955,0.0,
"<b>Subject Area: Access to Basic Services</b><br />Access to Basic Services focuses on the status of people/households with access to RDP level and above Water Supply infrastructure, progress made since 1994 and the remaining challenges to ensure that all citizens have access to basic water supply infrastructure by the end of 2014. This theme focusses primarily on access to infrastructure and, in some cases such as Access to and above RDP level services, also presents the results of Census 2011 and considers the functionality/reliability of the infrastructure.<br /><br /><b>Data Topic : DWS Access to Infrastructure Data</b><br />DWS Access to Infrastructure Data<br /><br /><b>Data Topic Detail:</b> People Served with Water<br />The total number of people served with access to water supply infrastructure from 1994 to April of the current year as well as the estimated number of people to be served with water supply infrastructure during the current financial year.",Unknown,<b>Data Source:</b> Census 2011 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,
