region,time_frame,unnamed__2,system_name,system_area,population_in_system,households_in_system,households_with_access_to_rdp_water,households_with_access_to_reliable_water,drinking_water_quality_percentage,latest_blue_drop_score,drinking_water_quality_percentage_change,drinking_water_quality_percentage_pct_change,latest_blue_drop_score_change,latest_blue_drop_score_pct_change
City of Johannesburg Metropolitan Municipality,April 2022,Unknown,Greater Johannesburg Water Supply System,"Alexandra,East Bank ,Tsutsumani ,Bultfontein ,Althea AH ,Randburg NU ,Stesa AH  ,Vereeniging NU ,Westonaria NU ,Diepkloof ,Diepsloot ,Sebenza ,Ivory Park ,Abmarie SH ,Aeroton ,Alan Manor ,Albertskroon ,Albertsville ,Amalgam ,Anchorville ,Armadale ,Ashanti",4 434 827,1 733 856,1 733 856,1 404 854,99.67,98.1,,,,
City of Tshwane Metropolitan Municipality,April 2022,Unknown,PRETORIA Central & South (Rietvlei WTW & Rand Water),"Rietvalleipark, Rietvalleirand, Elarduspark, Wingate park, Moreleta park, Garsfontein, Waterkloof Glen, Ashela Gardens, Menlyn, Rietfontein,Waverly,Wilgers,Wapadrand,Mooikloof, Silvertondate Moregloed, Valhalla, Villeria, Waltloo, Kilner Park, Weavind Par",1 523 194,551 867,534 627,455 074,99.92,89.36,0.25,0.0025082773151399174,-8.739999999999995,-0.08909276248725784
City of Tshwane Metropolitan Municipality,April 2022,Unknown,PRETORIA Findley (Fountains),Central Business District,6 322,2 291,2 219,1 889,99.48,64.44,-0.4399999999999977,-0.004403522818254624,-24.92,-0.27887197851387646
City of Tshwane Metropolitan Municipality,April 2022,Unknown,PRETORIA Temba (Temba WTW; Klipdrift WTW),"Stinkwater,Kudube,Hammanskraal ,Temba, Skampaneng. Dilopye, Suurman, Kakana, Majaneng, Morokolong, Ramotse, Kekana Gardens, Mandela Village, Renstown",400 875,145 241,140 703,119 767,99.66,55.97,0.1799999999999926,0.001809408926417344,-8.469999999999999,-0.13144009931719425
City of Tshwane Metropolitan Municipality,April 2022,Unknown,PRETORIA North - (Roodeplaat WTW),"Montana, Montana Tuine, Pumulani AH, Wolmaranspoort AH, Magalieskruin, Sinoville, Annlin, Cynthiavale AH, Onderstepoort, Wolmer, Wonderboom, Doornpoort, Dorandia, Bon Accord AH, Rooiwal, Pyramid, Pretoria North, Flourana   Sometimes Waverley and Villeiria",413 860,149 945,145 261,123 646,100.0,63.56,0.3400000000000034,0.003411599438089441,7.590000000000003,0.1356083616222976
City of Tshwane Metropolitan Municipality,April 2022,Unknown,KUNGWINI - (Bronkhorstpruit Town WTW),"Bronkhorstpruit Town & Residents, Zithobeni , Rethabiseng  , eKangala , Riamar",100 000,36 231,35 099,29 876,0.0,42.3,-100.0,-1.0,-21.260000000000005,-0.3344870988042795
City of Tshwane Metropolitan Municipality,April 2022,Unknown,KUNGWINI (Bronkhorstbaai WTW),"Bronkhorstbaai  Residents ,",1 000,362,351,299,98.28,52.64,98.28,,10.340000000000003,0.24444444444444446
City of Tshwane Metropolitan Municipality,April 2022,Unknown,KUNGWINI (Summerplace WTW),Summer Place Residents,500,181,175,149,97.3,54.24,-0.980000000000004,-0.009971509971509973,1.6000000000000014,0.03039513677811545
City of Tshwane Metropolitan Municipality,April 2022,Unknown,MAGALIES  (Cullinan WTW),Cullinan;  Rayton; Refilwe; Zonderwater;,22 750,8 243,7 985,6 797,99.77,76.49,2.469999999999999,0.025385405960945517,22.249999999999993,0.4102138643067845
City of Tshwane Metropolitan Municipality,April 2022,Unknown,ONVERWACHT Informal settlement,Onverwacht Reservoir; Onverwacht Community Centre; Onverwacht Clinic; Onverwacht Informal settlement.,1 178,427,413,352,96.67,47.2,-3.0999999999999943,-0.03107146436804642,-29.289999999999992,-0.3829258726630931
City of Tshwane Metropolitan Municipality,April 2022,Unknown,MAGALIES (Walmansthal WTW),"Walmansthal Small Holdings; Derdepark; Baviaanspoort, Roodeplaat Training Centre, Kameelfontein, Kameeldrift, Pebble Rock, Leeufontein,",22 750,8 243,7 985,6 797,100.0,73.25,3.3299999999999983,0.03444708803144714,26.049999999999997,0.5519067796610169
City of Tshwane Metropolitan Municipality,April 2022,Unknown,SOKHULUMI Informal Settlement,Nearby Houses / Informal Settlement / School / Clinic,2 000,725,702,598,99.19,43.93,-0.8100000000000023,-0.008099999999999996,-29.32,-0.4002730375426621
Ekurhuleni Metropolitan Municipality,April 2022,Unknown,Ekurhuleni,Alberton  Boksburg  Dukathole  Germiston  Katlehong  Reiger Park  Thokoza  Vosloorus  Benoni  Brakpan  Chief Albert Lithuli Park  Daveyton  Duduza  Etwatwa  KwaThema  Nigel  Springs  Tsakane  Wattville  Bedfordview  Boksburg  Edenvale  Kempton Park  Tembi,3 774 542,1 519 845,1 519 845,1 283 534,99.87,97.06,0.6800000000000068,0.006855529791309767,53.13,1.2094240837696337
Emfuleni,April 2022,Unknown,Emfuleni Water Supply System (RW),"Vanderbijlpark, Boipatong, Bophelong, Tshepiso, Vereeniging, Sharpeville, Roshnee, Dadaville, Rust-ter-Vaal, Sebokeng, Evaton.",752 815,272 188,272 188,234 641,60.0,85.93,-39.870000000000005,-0.3992189846800841,-11.129999999999995,-0.11467133731712342
Emfuleni,April 2022,Unknown,Vaaloewer (Vaaloewer TW),The village of Vaaloewer,1 200,434,434,374,0.0,58.08,-60.0,-1.0,-27.85000000000001,-0.32410101245199585
Lesedi,April 2022,Unknown,Lesedi Main (Rand Water),Heidelberg/Ratanda/Ext. 23/Ext. 7/Jameson Park/Rensburg/Shalimar Ridge,99 950,36 422,35 421,30 752,100.0,86.22,100.0,,28.14,0.484504132231405
Merafong City,April 2022,Unknown,Carletonville(Rand Water),"Carletonville, Khutsong, Welverdiend , Khutsong-South",130 027,55 009,55 009,42 312,100.0,93.31,0.0,0.0,7.090000000000003,0.08223150081187658
Merafong City,April 2022,Unknown,Fochville(Rand Water),"Fochville,Kokosi,Greenspark,Losberg Industrial Area",80 000,33 845,33 845,26 033,100.0,93.03,0.0,0.0,-0.28000000000000114,-0.0030007501875468634
Merafong City,April 2022,Unknown,Wedela(Rand Water),"Wedela , Fochville",27 000,11 423,11 423,8 786,100.0,93.31,0.0,0.0,0.28000000000000114,0.0030097817908201208
Midvaal,April 2022,Unknown,Meyerton(rand water),"Meyerton ,Henley on klip,De Deur ,Walkerville,Randvaal,Riversdale ,Rissiville , Golf",63 000,22 348,20 244,17 270,99.98,95.12,-0.01999999999999602,-0.00019999999999997797,1.8100000000000023,0.019397706569499462
Midvaal,April 2022,Unknown,vaal marina(vaal marina wtp),"koppiesfontein,vaal marina",4 000,1 419,1 285,1 097,98.39,84.03,-1.5900000000000034,-0.01590318063612728,-11.090000000000003,-0.11658957106812451
Mogale City,April 2022,Unknown,Mogale City Water Supply Systems,Krugersdorp  Luipaardsvlei  Krugersdorp North (Section of)  Monument  Wentworthpark  Noordheuwel  Rant en Dal  Rangeview  Muldersdrift (Section of)  Featherbrooke  Ruimsig Country Estate  Kenmare  Chancliff  Wentworthpark  Monument  Silverfields  Breuanan,365 376,146 700,139 851,119 427,99.86,93.06,1.4699999999999989,0.014940542738083096,9.030000000000001,0.10746162084969657
Mogale City,April 2022,Unknown,Mogale/Demarcation Intermediary System (not for BDS),Kromdraai (Demarcation area),7 900,3 172,3 024,2 582,60.0,86.93,-39.86,-0.39915882235129185,-6.1299999999999955,-0.06587148076509775
Rand West City,April 2022,Unknown,Randfontein Water Supply Systems,"Aureus , Badirile , Finsbury , Greenhills , Helikonpark , Homelake , Kocksoord , North , Randgate , Randpoort , Reservoirs , South , Toekomsrus , Zenzele",151 388,61 940,57 340,45 640,100.0,87.86,40.0,0.6666666666666667,0.9299999999999926,0.01069826297020593
Rand West City,April 2022,Unknown,GT483:Westonaria RW,"Westonarea, Hillshaven, Venterspos, Thushanag , Venterspost , Westonaria",45 000,18 411,17 044,13 567,100.0,86.81,0.0,0.0,-1.0499999999999972,-0.011950830867288875
Rand West City,April 2022,Unknown,GT483:Suurbekom (RW),Suurbekom Small holdings,2 000,818,758,603,100.0,86.81,0.0,0.0,0.0,0.0
Rand West City,April 2022,Unknown,GT483:Waterpan (RW),Waterpan Small Holdings,500,205,189,151,100.0,86.81,0.0,0.0,0.0,0.0
Rand West City,April 2022,Unknown,GT483:Wagterskop (RW),Wagterskop - Protea Park - Town Houses,1 000,409,379,301,100.0,86.81,0.0,0.0,0.0,0.0
Rand West City,April 2022,Unknown,GT483:Glenharvie (RW),"Kloof Mine Villages , Glenharvie",6 000,2 455,2 273,1 809,100.0,86.81,0.0,0.0,0.0,0.0
Rand West City,April 2022,Unknown,GT483:Bekkersdal (RW),Bekkersdal formal & Informal Settlements,64 000,26 185,24 241,19 295,100.0,86.11,0.0,0.0,-0.7000000000000028,-0.008063587144338191
Gauteng,April 2022,Unknown,Carletonville(Rand Water),"Carletonville, Khutsong, Welverdiend , Khutsong-South",130 027,55 009,55 009,42 312,100.0,93.31,0.0,0.0,7.200000000000003,0.08361398211589832
Gauteng,April 2022,Unknown,Greater Johannesburg Water Supply System,"Alexandra,East Bank ,Tsutsumani ,Bultfontein ,Althea AH ,Randburg NU ,Stesa AH  ,Vereeniging NU ,Westonaria NU ,Diepkloof ,Diepsloot ,Sebenza ,Ivory Park ,Abmarie SH ,Aeroton ,Alan Manor ,Albertskroon ,Albertsville ,Amalgam ,Anchorville ,Armadale ,Ashanti",4 434 827,1 733 856,1 733 856,1 404 854,99.67,98.1,-0.3299999999999983,-0.0032999999999999696,4.789999999999992,0.051334262136962794
Gauteng,April 2022,Unknown,Emfuleni Water Supply System (RW),"Vanderbijlpark, Boipatong, Bophelong, Tshepiso, Vereeniging, Sharpeville, Roshnee, Dadaville, Rust-ter-Vaal, Sebokeng, Evaton.",752 815,272 188,272 188,234 641,60.0,85.93,-39.67,-0.3980134443664092,-12.169999999999987,-0.12405708460754317
Gauteng,April 2022,Unknown,Meyerton(rand water),"Meyerton ,Henley on klip,De Deur ,Walkerville,Randvaal,Riversdale ,Rissiville , Golf",63 000,22 348,20 244,17 270,99.98,95.12,39.980000000000004,0.6663333333333334,9.189999999999998,0.1069475154195274
Gauteng,April 2022,Unknown,Mogale City Water Supply Systems,Krugersdorp  Luipaardsvlei  Krugersdorp North (Section of)  Monument  Wentworthpark  Noordheuwel  Rant en Dal  Rangeview  Muldersdrift (Section of)  Featherbrooke  Ruimsig Country Estate  Kenmare  Chancliff  Wentworthpark  Monument  Silverfields  Breuanan,365 376,146 700,139 851,119 427,99.86,93.06,-0.12000000000000455,-0.0012002400480096709,-2.0600000000000023,-0.021656854499579548
Gauteng,April 2022,Unknown,Randfontein Water Supply Systems,"Aureus , Badirile , Finsbury , Greenhills , Helikonpark , Homelake , Kocksoord , North , Randgate , Randpoort , Reservoirs , South , Toekomsrus , Zenzele",151 388,61 940,57 340,45 640,100.0,87.86,0.14000000000000057,0.0014019627478469854,-5.200000000000003,-0.0558779282183538
Gauteng,April 2022,Unknown,GT483:Westonaria RW,"Westonarea, Hillshaven, Venterspos, Thushanag , Venterspost , Westonaria",45 000,18 411,17 044,13 567,100.0,86.81,0.0,0.0,-1.0499999999999972,-0.011950830867288875
Gauteng,April 2022,Unknown,PRETORIA Central & South (Rietvlei WTW & Rand Water),"Rietvalleipark, Rietvalleirand, Elarduspark, Wingate park, Moreleta park, Garsfontein, Waterkloof Glen, Ashela Gardens, Menlyn, Rietfontein,Waverly,Wilgers,Wapadrand,Mooikloof, Silvertondate Moregloed, Valhalla, Villeria, Waltloo, Kilner Park, Weavind Par",1 523 194,551 867,534 627,455 074,99.92,89.36,-0.0799999999999983,-0.0008000000000000229,2.549999999999997,0.029374496025803554
Gauteng,April 2022,Unknown,PRETORIA Findley (Fountains),Central Business District,6 322,2 291,2 219,1 889,99.48,64.44,-0.4399999999999977,-0.004403522818254624,-24.92,-0.27887197851387646
Gauteng,April 2022,Unknown,PRETORIA Temba (Temba WTW; Klipdrift WTW),"Stinkwater,Kudube,Hammanskraal ,Temba, Skampaneng. Dilopye, Suurman, Kakana, Majaneng, Morokolong, Ramotse, Kekana Gardens, Mandela Village, Renstown",400 875,145 241,140 703,119 767,99.66,55.97,0.1799999999999926,0.001809408926417344,-8.469999999999999,-0.13144009931719425
Gauteng,April 2022,Unknown,PRETORIA North - (Roodeplaat WTW),"Montana, Montana Tuine, Pumulani AH, Wolmaranspoort AH, Magalieskruin, Sinoville, Annlin, Cynthiavale AH, Onderstepoort, Wolmer, Wonderboom, Doornpoort, Dorandia, Bon Accord AH, Rooiwal, Pyramid, Pretoria North, Flourana   Sometimes Waverley and Villeiria",413 860,149 945,145 261,123 646,100.0,63.56,0.3400000000000034,0.003411599438089441,7.590000000000003,0.1356083616222976
Gauteng,April 2022,Unknown,KUNGWINI - (Bronkhorstpruit Town WTW),"Bronkhorstpruit Town & Residents, Zithobeni , Rethabiseng  , eKangala , Riamar",100 000,36 231,35 099,29 876,0.0,42.3,-100.0,-1.0,-21.260000000000005,-0.3344870988042795
Gauteng,April 2022,Unknown,Lesedi Main (Rand Water),Heidelberg/Ratanda/Ext. 23/Ext. 7/Jameson Park/Rensburg/Shalimar Ridge,99 950,36 422,35 421,30 752,100.0,86.22,100.0,,43.92,1.0382978723404257
Gauteng,April 2022,Unknown,Mogale/Demarcation Intermediary System (not for BDS),Kromdraai (Demarcation area),7 900,3 172,3 024,2 582,60.0,86.93,-40.0,-0.4,0.710000000000008,0.008234748318255658
Gauteng,April 2022,Unknown,KUNGWINI (Bronkhorstbaai WTW),"Bronkhorstbaai  Residents ,",1 000,362,351,299,98.28,52.64,38.28,0.6380000000000001,-34.290000000000006,-0.3944553088692051
Gauteng,April 2022,Unknown,Fochville(Rand Water),"Fochville,Kokosi,Greenspark,Losberg Industrial Area",80 000,33 845,33 845,26 033,100.0,93.03,1.7199999999999989,0.017501017501017513,40.39,0.7672872340425532
Gauteng,April 2022,Unknown,Wedela(Rand Water),"Wedela , Fochville",27 000,11 423,11 423,8 786,100.0,93.31,0.0,0.0,0.28000000000000114,0.0030097817908201208
Gauteng,April 2022,Unknown,GT483:Suurbekom (RW),Suurbekom Small holdings,2 000,818,758,603,100.0,86.81,0.0,0.0,-6.5,-0.06966027221090987
Gauteng,April 2022,Unknown,GT483:Waterpan (RW),Waterpan Small Holdings,500,205,189,151,100.0,86.81,0.0,0.0,0.0,0.0
Gauteng,April 2022,Unknown,GT483:Wagterskop (RW),Wagterskop - Protea Park - Town Houses,1 000,409,379,301,100.0,86.81,0.0,0.0,0.0,0.0
Gauteng,April 2022,Unknown,GT483:Glenharvie (RW),"Kloof Mine Villages , Glenharvie",6 000,2 455,2 273,1 809,100.0,86.81,0.0,0.0,0.0,0.0
Gauteng,April 2022,Unknown,GT483:Bekkersdal (RW),Bekkersdal formal & Informal Settlements,64 000,26 185,24 241,19 295,100.0,86.11,0.0,0.0,-0.7000000000000028,-0.008063587144338191
Gauteng,April 2022,Unknown,Vaaloewer (Vaaloewer TW),The village of Vaaloewer,1 200,434,434,374,0.0,58.08,-100.0,-1.0,-28.03,-0.32551387759842065
Gauteng,April 2022,Unknown,vaal marina(vaal marina wtp),"koppiesfontein,vaal marina",4 000,1 419,1 285,1 097,98.39,84.03,98.39,,25.950000000000003,0.4467975206611572
Gauteng,April 2022,Unknown,KUNGWINI (Summerplace WTW),Summer Place Residents,500,181,175,149,97.3,54.24,-1.0900000000000034,-0.011078361622116062,-29.79,-0.3545162441985005
Gauteng,April 2022,Unknown,MAGALIES  (Cullinan WTW),Cullinan;  Rayton; Refilwe; Zonderwater;,22 750,8 243,7 985,6 797,99.77,76.49,2.469999999999999,0.025385405960945517,22.249999999999993,0.4102138643067845
