wsa_name,population,population_with_access_to_water,urban_population,urban_population_with_access_to_water,rural_population,rural_population_with_access_to_water,log_population,water_access_rate_pct,water_access_gap_pct,urban_population_share_pct,rural_population_share_pct,target_reliable_supply_pct
Alfred Nzo,829109.0,323859.0,46614.0,17722.0,782495.0,306137.0,13.628108115302831,39.06108846967045,60.93891153032955,5.62217995462599,94.37782004537401,16.0
Amathole,838800.0,509183.0,148028.0,106420.0,690772.0,402763.0,13.639728770188494,60.70374344301383,39.29625655698617,17.64759179780639,82.3524082021936,23.0
Blue Crane Route,34291.0,32784.0,26791.0,25604.0,7500.0,7180.0,10.442667369798647,95.60526085561808,4.394739144381916,78.12837187600245,21.87162812399755,86.0
Buffalo City Metropolitan Municipality,796675.0,771345.0,465125.0,450270.0,331550.0,321075.0,13.58820335065213,96.82053535004864,3.179464649951356,58.383280509618096,41.6167194903819,72.0
Chris Hani,800718.0,596366.0,171148.0,157242.0,629570.0,439124.0,13.59326535301611,74.47890518259862,25.521094817401377,21.37431655089557,78.62568344910443,40.0
Dr Beyers Naudé,78312.0,73030.0,77366.0,72115.0,946.0,915.0,11.268468896294818,93.25518439064255,6.744815609357445,98.79201144141383,1.207988558586168,82.0
Joe Gqabi,355968.0,254099.0,139993.0,112725.0,215975.0,141374.0,12.782598927390916,71.38254000359584,28.617459996404165,39.32741145271485,60.672588547285145,44.0
Kouga,108282.0,101416.0,104406.0,97725.0,3876.0,3691.0,11.592503449291979,93.65914925841784,6.340850741582159,96.42045769379952,3.579542306200476,78.0
Koukamma,41724.0,38575.0,40965.0,37840.0,759.0,735.0,10.638855748530036,92.4527849678842,7.547215032115801,98.18090307736554,1.8190969226344549,63.0
Makana,78099.0,73304.0,77938.0,73148.0,161.0,156.0,11.265745335827777,93.86035672671865,6.139643273281351,99.79385139374384,0.20614860625616205,77.0
Ndlambe,60184.0,55069.0,59646.0,54548.0,538.0,521.0,11.005178430813835,91.5010634055563,8.498936594443705,99.10607470424033,0.8939252957596703,80.0
Nelson Mandela Bay Metropolitan Municipality,1207647.0,1169085.0,1202494.0,1164095.0,5153.0,4990.0,14.004185224285893,96.80684835883334,3.193151641166665,99.5733024633854,0.4266975366145902,84.0
OR Tambo,1391247.0,454252.0,158418.0,64416.0,1232829.0,389836.0,14.145711744014704,32.65070832138362,67.34929167861638,11.386763098141452,88.61323690185856,16.0
Sundays River Valley,57174.0,47748.0,56945.0,47527.0,229.0,221.0,10.953872018890982,83.51348515059293,16.486514849407072,99.59946828978207,0.4005317102179312,56.0
Dihlabeng,150142.0,145644.0,142924.0,138643.0,7218.0,7001.0,11.919343452278108,97.00416938631429,2.995830613685712,95.19255105167107,4.807448948328915,82.0
Kopanong,53380.0,53700.0,44081.0,44345.0,9299.0,9355.0,10.885210156391135,100.59947545897342,-0.5994754589734157,82.57961783439491,17.420382165605094,78.0
Letsemeng,42799.0,43057.0,35526.0,35740.0,7273.0,7317.0,10.664293381569887,100.60281782284632,-0.602817822846319,83.0066123040258,16.993387695974207,77.0
Mafube,61374.0,61744.0,57889.0,58238.0,3485.0,3506.0,11.024757865096822,100.60286114641379,-0.6028611464137867,94.32169974256199,5.678300257438003,78.0
Maluti-A-Phofung,378139.0,344238.0,236197.0,214410.0,141942.0,129828.0,12.84301977640192,91.03477821647596,8.965221783524044,62.46300963402347,37.53699036597653,53.0
Mangaung Metropolitan Municipality,840979.0,846055.0,819702.0,824648.0,21277.0,21407.0,13.642323157459465,100.60358225354022,-0.6035822535402247,97.46997249634057,2.5300275036594257,68.0
Mantsopa,57249.0,55661.0,52667.0,51194.0,4582.0,4467.0,10.955182921416487,97.22615242187636,2.773847578123636,91.99636674876417,8.00363325123583,54.0
Masilonyana,67141.0,64903.0,61543.0,59492.0,5598.0,5411.0,11.114565058591996,96.66671631342994,3.3332836865700557,91.66232257487972,8.337677425120269,49.0
Matjhabeng,459194.0,456025.0,450317.0,447193.0,8877.0,8832.0,13.037230235426472,99.30987774230499,0.690122257695009,98.06683014150882,1.9331698584911825,86.0
Metsimaholo,175456.0,176306.0,172327.0,173159.0,3129.0,3147.0,12.075149277622149,100.48445194236733,-0.484451942367329,98.21664690862666,1.7833530913733358,86.0
Mohokare,38338.0,38570.0,33568.0,33771.0,4770.0,4799.0,10.554222933839034,100.6051437216339,-0.605143721633894,87.55803641295842,12.441963587041577,46.0
Moqhaka,164625.0,162713.0,157063.0,155218.0,7562.0,7495.0,12.011431513438675,98.83857251328777,1.1614274867122276,95.40652999240699,4.593470007593014,66.0
Nala,83550.0,83762.0,72686.0,72832.0,10864.0,10930.0,11.333212502832822,100.25374027528426,-0.25374027528425813,86.99700777977259,13.002992220227409,87.0
Ngwathe,126697.0,126486.0,118356.0,118146.0,8341.0,8340.0,11.749561580864988,99.83346093435519,0.16653906564481247,93.4165765566667,6.583423443333307,70.0
Nketoana,69518.0,69937.0,61102.0,61470.0,8416.0,8467.0,11.14935537548599,100.60272159728416,-0.6027215972841589,87.89378290514686,12.106217094853132,61.0
Phumelela,53537.0,52971.0,50291.0,49705.0,3246.0,3266.0,10.888146961128207,98.94278723126062,1.057212768739376,93.9369034499505,6.063096550049499,78.0
