Region,Time Frame,,System name,System area,Population in system,Households in System,Households with Access to RDP Water,Households with Access to Reliable Water,Drinking Water Quality Percentage,Latest Blue Drop Score
City of Johannesburg Metropolitan Municipality,April 2022,,Greater Johannesburg Water Supply System,"Alexandra,East Bank ,Tsutsumani ,Bultfontein ,Althea AH ,Randburg NU ,Stesa AH  ,Vereeniging NU ,Westonaria NU ,Diepkloof ,Diepsloot ,Sebenza ,Ivory Park ,Abmarie SH ,Aeroton ,Alan Manor ,Albertskroon ,Albertsville ,Amalgam ,Anchorville ,Armadale ,Ashanti",4 434 827,1 733 856,1 733 856,1 404 854,99.67,98.10
City of Tshwane Metropolitan Municipality,April 2022,,PRETORIA Central & South (Rietvlei WTW & Rand Water),"Rietvalleipark, Rietvalleirand, Elarduspark, Wingate park, Moreleta park, Garsfontein, Waterkloof Glen, Ashela Gardens, Menlyn, Rietfontein,Waverly,Wilgers,Wapadrand,Mooikloof, Silvertondate Moregloed, Valhalla, Villeria, Waltloo, Kilner Park, Weavind Par",1 523 194,551 867,534 627,455 074,99.92,89.36
City of Tshwane Metropolitan Municipality,April 2022,,PRETORIA Findley (Fountains),Central Business District,6 322,2 291,2 219,1 889,99.48,64.44
City of Tshwane Metropolitan Municipality,April 2022,,PRETORIA Temba (Temba WTW; Klipdrift WTW),"Stinkwater,Kudube,Hammanskraal ,Temba, Skampaneng. Dilopye, Suurman, Kakana, Majaneng, Morokolong, Ramotse, Kekana Gardens, Mandela Village, Renstown",400 875,145 241,140 703,119 767,99.66,55.97
City of Tshwane Metropolitan Municipality,April 2022,,PRETORIA North - (Roodeplaat WTW),"Montana, Montana Tuine, Pumulani AH, Wolmaranspoort AH, Magalieskruin, Sinoville, Annlin, Cynthiavale AH, Onderstepoort, Wolmer, Wonderboom, Doornpoort, Dorandia, Bon Accord AH, Rooiwal, Pyramid, Pretoria North, Flourana   Sometimes Waverley and Villeiria",413 860,149 945,145 261,123 646,100.00,63.56
City of Tshwane Metropolitan Municipality,April 2022,,KUNGWINI - (Bronkhorstpruit Town WTW),"Bronkhorstpruit Town & Residents, Zithobeni , Rethabiseng  , eKangala , Riamar",100 000,36 231,35 099,29 876,0.00,42.30
City of Tshwane Metropolitan Municipality,April 2022,,KUNGWINI (Bronkhorstbaai WTW),"Bronkhorstbaai  Residents ,",1 000,362,351,299,98.28,52.64
City of Tshwane Metropolitan Municipality,April 2022,,KUNGWINI (Summerplace WTW),Summer Place Residents,500,181,175,149,97.30,54.24
City of Tshwane Metropolitan Municipality,April 2022,,MAGALIES  (Cullinan WTW),Cullinan;  Rayton; Refilwe; Zonderwater;,22 750,8 243,7 985,6 797,99.77,76.49
City of Tshwane Metropolitan Municipality,April 2022,,ONVERWACHT Informal settlement,Onverwacht Reservoir; Onverwacht Community Centre; Onverwacht Clinic; Onverwacht Informal settlement.,1 178,427,413,352,96.67,47.20
City of Tshwane Metropolitan Municipality,April 2022,,MAGALIES (Walmansthal WTW),"Walmansthal Small Holdings; Derdepark; Baviaanspoort, Roodeplaat Training Centre, Kameelfontein, Kameeldrift, Pebble Rock, Leeufontein,",22 750,8 243,7 985,6 797,100.00,73.25
City of Tshwane Metropolitan Municipality,April 2022,,SOKHULUMI Informal Settlement,Nearby Houses / Informal Settlement / School / Clinic,2 000,725,702,598,99.19,43.93
