Region,Time Frame,,Total Protests,Informal,Violent,Xenophobia,Criminality,Corruption,Councillor,Water,Sanitation,Electricity,Refuse Removal,Roads,Housing
City of Johannesburg Metropolitan Municipality,2 018,,174,101,143,4,17,5,35,37,26,76,7,9,77
City of Tshwane Metropolitan Municipality,2 018,,85,28,64,2,7,16,33,36,18,29,2,11,38
Ekurhuleni Metropolitan Municipality,2 018,,73,42,57,3,6,9,18,16,12,31,1,2,27
Emfuleni,2 018,,15,3,13,1,2,2,4,3,1,1,0,4,4
Lesedi,2 018,,2,0,2,2,2,0,1,0,0,2,0,0,0
Merafong City,2 018,,3,0,1,0,1,1,2,1,1,1,0,0,2
Midvaal,2 018,,6,6,4,0,1,0,0,2,1,2,0,0,3
Mogale City,2 018,,11,5,8,0,0,2,5,3,2,5,0,2,2
Rand West City ,2 018,,12,4,12,3,3,2,7,2,3,6,2,0,3
Gauteng,2 018,,381,189,304,15,39,37,105,100,64,153,12,28,156
<b>Subject Area: HotSpots</b><br />This theme currently reports on public unrest through protests and highlights areas where serious protests have been experienced with an indication of the drivers leading to the unrest. Future functionality will include the ability to predict where future protests might be expected.<br /><br /><b>Data Topic : Protests</b><br />Protests<br /><br /><b>Data Topic Detail:</b> Protests Identified by Municipal IQ<br />,,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.municipaliq.co.za/"" target=""_blank"" >Municipal IQ</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2018<br /><b>Level Of Confidence:</b> 95 Percent",,,,,,,,,,,,,
