Region,Time Frame,,Total Population,Total Households,HH Density,Urban Population,Rural Population
City of Johannesburg Metropolitan Municipality,April 2026,,5 045 624,1 999 327,2.52,4 827 348,218 276
City of Tshwane Metropolitan Municipality,April 2026,,4 426 868,1 469 057,3.01,3 977 415,449 453
Ekurhuleni Metropolitan Municipality,April 2026,,4 391 840,1 567 566,2.80,3 824 427,567 413
Emfuleni,April 2026,,1 025 702,326 534,3.14,952 341,73 361
Lesedi,April 2026,,144 504,47 233,3.06,118 922,25 582
Merafong City,April 2026,,238 817,82 825,2.88,221 393,17 424
Midvaal,April 2026,,119 505,39 203,3.05,73 846,45 659
Mogale City,April 2026,,468 610,163 696,2.86,310 942,157 668
Rand West City ,April 2026,,361 697,144 056,2.51,296 769,64 928
Gauteng,April 2026,,16 223 167,5 839 497,2.78,14 603 403,1 619 764
"<b>Subject Area: Demography</b><br />This theme provides an overview of the demography of South Africa, with a focus on estimated population and household scenarios. It also includes time series data, household density estimates, population growth factors and number of settlements amongst others.<br /><br /><b>Data Topic : Demography facts & figures</b><br />Facts & figures related to the RSA demography.<br /><br /><b>Data Topic Detail:</b> Total Population<br />The estimated current total population as calculated by DWS based on Census and General Household Survey results. This is also aligned annually with the STATS SA mid-year population estimates and is available to municipal level.",,"<b>Data Source:</b> <a style=""font-weight: bold;color:red;"" href=""http://www.statssa.gov.za"" target=""_blank"" >Statistics SA</a><br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> April 2026<br /><b>Level Of Confidence:</b> 95 Percent",,,,,
