"","WSA Name","population","population with access  to water","population Reliable Supply","% population Reliable Supply","Urban population","Urban population with access to water","Urban population Reliable Supply","% Urban population Reliable Supply","Rural population","Rural population  with access  to water","Rural population Reliable Supply","% Rural population Reliable Supply"
"","Alfred Nzo","829 109","323 859","131 977","16%","46 614","17 722","7 144","15%","782 495","306 137","124 833","16%"
"","Amathole","838 800","509 183","195 069","23%","148 028","106 420","50 650","34%","690 772","402 763","144 419","21%"
"","Blue Crane Route","34 291","32 784","29 486","86%","26 791","25 604","23 029","86%","7 500","7 180","6 457","86%"
"","Buffalo City Metropolitan Municipality","796 675","771 345","571 873","72%","465 125","450 270","338 003","73%","331 550","321 075","233 870","71%"
"","Chris Hani","800 718","596 366","322 992","40%","171 148","157 242","118 650","69%","629 570","439 124","204 342","32%"
"","Dr Beyers Naudé","78 312","73 030","64 155","82%","77 366","72 115","63 536","82%","946","915","619","65%"
"","Joe Gqabi","355 968","254 099","155 594","44%","139 993","112 725","81 502","58%","215 975","141 374","74 092","34%"
"","Kouga","108 282","101 416","84 914","78%","104 406","97 725","81 842","78%","3 876","3 691","3 072","79%"
"","Koukamma","41 724","38 575","26 418","63%","40 965","37 840","25 923","63%","759","735","495","65%"
"","Makana","78 099","73 304","60 410","77%","77 938","73 148","60 293","77%","161","156","117","73%"
"","Ndlambe","60 184","55 069","48 431","80%","59 646","54 548","47 980","80%","538","521","451","84%"
"","Nelson Mandela Bay Metropolitan Municipality","1 207 647","1 169 085","1 014 139","84%","1 202 494","1 164 095","1 009 830","84%","5 153","4 990","4 309","84%"
"","OR Tambo","1 391 247","454 252","226 520","16%","158 418","64 416","41 821","26%","1 232 829","389 836","184 699","15%"
"","Sundays River Valley","57 174","47 748","32 187","56%","56 945","47 527","32 042","56%","229","221","145","63%"
"","Dihlabeng","150 142","145 644","123 395","82%","142 924","138 643","117 458","82%","7 218","7 001","5 937","82%"
"","Kopanong","53 380","53 700","41 652","78%","44 081","44 345","34 317","78%","9 299","9 355","7 335","79%"
"","Letsemeng","42 799","43 057","32 871","77%","35 526","35 740","27 286","77%","7 273","7 317","5 585","77%"
"","Mafube","61 374","61 744","48 090","78%","57 889","58 238","45 357","78%","3 485","3 506","2 733","78%"
"","Maluti-A-Phofung","378 139","344 238","198 643","53%","236 197","214 410","123 830","52%","141 942","129 828","74 813","53%"
"","Mangaung Metropolitan Municipality","840 979","846 055","575 360","68%","819 702","824 648","560 661","68%","21 277","21 407","14 699","69%"
"","Mantsopa","57 249","55 661","30 800","54%","52 667","51 194","28 336","54%","4 582","4 467","2 464","54%"
"","Masilonyana","67 141","64 903","32 720","49%","61 543","59 492","29 987","49%","5 598","5 411","2 733","49%"
"","Matjhabeng","459 194","456 025","396 203","86%","450 317","447 193","388 550","86%","8 877","8 832","7 653","86%"
"","Metsimaholo","175 456","176 306","150 390","86%","172 327","173 159","147 708","86%","3 129","3 147","2 682","86%"
"","Mohokare","38 338","38 570","17 639","46%","33 568","33 771","15 453","46%","4 770","4 799","2 186","46%"
"","Moqhaka","164 625","162 713","108 324","66%","157 063","155 218","103 350","66%","7 562","7 495","4 974","66%"
"","Nala","83 550","83 762","72 627","87%","72 686","72 832","63 156","87%","10 864","10 930","9 471","87%"
"","Ngwathe","126 697","126 486","89 087","70%","118 356","118 146","83 230","70%","8 341","8 340","5 857","70%"
"","Nketoana","69 518","69 937","42 061","61%","61 102","61 470","36 975","61%","8 416","8 467","5 086","60%"
"","Phumelela","53 537","52 971","41 567","78%","50 291","49 705","39 010","78%","3 246","3 266","2 557","79%"
"","Setsoto","125 491","123 506","61 393","49%","120 227","118 316","58 814","49%","5 264","5 190","2 579","49%"
"","Tokologo","31 099","30 608","20 144","65%","25 360","24 980","16 432","65%","5 739","5 628","3 712","65%"
"","Tswelopele","50 505","49 463","43 550","86%","40 229","39 406","34 683","86%","10 276","10 057","8 867","86%"
"","City of Johannesburg Metropolitan Municipality","5 858 600","5 917 763","4 747 224","81%","5 605 145","5 661 750","4 541 927","81%","253 455","256 013","205 297","81%"
"","City of Tshwane Metropolitan Municipality","3 877 938","3 794 364","3 197 543","82%","3 484 206","3 407 896","2 872 286","82%","393 732","386 468","325 257","83%"
"","Ekurhuleni Metropolitan Municipality","3 987 743","4 028 025","3 367 863","84%","3 472 533","3 507 607","2 932 645","84%","515 210","520 418","435 218","84%"
"","Emfuleni","863 084","871 801","744 057","86%","801 347","809 438","691 101","86%","61 737","62 363","52 956","86%"
"","Lesedi","133 239","130 978","112 500","84%","109 649","107 545","92 598","84%","23 590","23 433","19 902","84%"
"","Merafong City","221 365","223 601","170 275","77%","205 214","207 287","157 859","77%","16 151","16 314","12 416","77%"
