Region,Time Frame,,Tariff 0-6kl (incl#VAT),Tariff 6-20kl (incl#VAT),Tariff 20-60kl (incl#VAT),Tariff >60kl (incl#VAT)
City of Johannesburg Metropolitan Municipality,2 018,,"R0,00","R13,90","R33,73","R38,13"
City of Tshwane Metropolitan Municipality,2 018,,"R10,95","R18,89","R29,39","R33,63"
Ekurhuleni Metropolitan Municipality,2 018,,"R0,00","R18,30","R26,80","R31,83"
Emfuleni,2 018,,"R15,99","R26,94","R39,35","R43,57"
Lesedi,2 018,,"R16,06","R19,50","R28,06","R42,45"
Merafong City,2 018,,"R12,55","R14,15","R22,69","R28,16"
Midvaal,2 018,,"R9,06","R22,45","R27,94","R29,58"
Mogale City,2 018,,"R0,00","R23,20","R30,95","R37,19"
Rand West City ,2 018,,"R11,80","R21,60","R25,34","R25,90"
Gauteng,2 018,,"R8,49","R19,88","R29,36","R34,49"
"<b>Subject Area: Financials</b><br />This theme currently reports on municipal expenditure paterns (as per National Treasury information) as well as Municipal water tariffs including but not limited to residential, commercial and industrial.<br /><br /><b>Data Topic : Water Tariffs</b><br />Water Tariffs<br /><br /><b>Data Topic Detail:</b> Residential Tariffs<br />",,<b>Data Source:</b> Census 2001 Modelled and Updated <br /><b>Update Frequency:</b> Annually<br /><b>Time Frame:</b> 2019<br /><b>Level Of Confidence:</b> 95 Percent,,,,
